 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   1.183E-04   7.817E-05   3.686E-04   5.464E-02
   1.500E-03   1.182E-04   7.773E-05   3.676E-04   5.407E-02
   1.450E-03   1.191E-04   7.973E-05   3.705E-04   5.239E-02
   1.440E-03   1.195E-04   8.064E-05   3.723E-04   5.227E-02
   1.430E-03   1.198E-04   8.138E-05   3.762E-04   5.234E-02
   1.420E-03   1.201E-04   8.209E-05   3.802E-04   5.240E-02
   1.400E-03   1.209E-04   8.376E-05   3.918E-04   5.296E-02
   1.380E-03   1.216E-04   8.531E-05   4.069E-04   5.393E-02
   1.370E-03   1.219E-04   8.619E-05   4.167E-04   5.472E-02
   1.360E-03   1.224E-04   8.706E-05   4.277E-04   5.562E-02
   1.350E-03   1.230E-04   8.816E-05   4.389E-04   5.657E-02
   1.340E-03   1.236E-04   8.925E-05   4.505E-04   5.767E-02
   1.330E-03   1.239E-04   9.062E-05   4.620E-04   5.883E-02
   1.320E-03   1.245E-04   9.205E-05   4.741E-04   6.003E-02
   1.310E-03   1.246E-04   9.372E-05   4.859E-04   6.131E-02
   1.290E-03   1.244E-04   9.777E-05   5.101E-04   6.399E-02
   1.280E-03   1.243E-04   9.992E-05   5.238E-04   6.560E-02
   1.270E-03   1.247E-04   1.017E-04   5.383E-04   6.719E-02
   1.260E-03   1.249E-04   1.043E-04   5.524E-04   6.882E-02
   1.250E-03   1.250E-04   1.078E-04   5.658E-04   7.052E-02
   1.220E-03   1.270E-04   1.288E-04   6.101E-04   7.703E-02
   1.210E-03   1.272E-04   1.428E-04   6.243E-04   8.006E-02
   1.200E-03   1.272E-04   1.594E-04   6.389E-04   8.347E-02
   1.190E-03   1.281E-04   1.768E-04   6.548E-04   8.718E-02
   1.180E-03   1.287E-04   1.934E-04   6.673E-04   9.087E-02
   1.170E-03   1.291E-04   2.079E-04   6.797E-04   9.453E-02
   1.160E-03   1.296E-04   2.198E-04   6.904E-04   9.792E-02
   1.150E-03   1.296E-04   2.294E-04   6.998E-04   1.014E-01
   1.140E-03   1.295E-04   2.372E-04   7.099E-04   1.045E-01
   1.130E-03   1.295E-04   2.436E-04   7.205E-04   1.077E-01
   1.120E-03   1.295E-04   2.491E-04   7.299E-04   1.108E-01
   1.110E-03   1.295E-04   2.542E-04   7.385E-04   1.139E-01
   1.090E-03   1.298E-04   2.633E-04   7.526E-04   1.202E-01
   1.050E-03   1.317E-04   2.738E-04   7.670E-04   1.354E-01
   1.000E-03   1.349E-04   2.709E-04   6.957E-04   1.483E-01
   9.800E-04   1.365E-04   2.605E-04   6.637E-04   1.526E-01
   9.600E-04   1.377E-04   2.430E-04   6.164E-04   1.557E-01
