 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  7.87E-17  1.21E-17  1.97E-17  2.05E-18  4.24E-17  1.82E-19  4.32E-18  1.61E-22  3.03E-21
  9.00E+03  1.13E-16  1.75E-17  2.85E-17  2.94E-18  6.06E-17  2.83E-19  6.27E-18  2.41E-22  8.23E-21
  8.00E+03  1.70E-16  2.63E-17  4.31E-17  4.38E-18  9.02E-17  4.60E-19  9.53E-18  3.77E-22  2.21E-20
  7.00E+03  2.68E-16  4.17E-17  6.88E-17  6.88E-18  1.42E-16  7.92E-19  1.50E-17  6.23E-22  5.85E-20
  6.00E+03  4.55E-16  7.12E-17  1.18E-16  1.16E-17  2.38E-16  1.46E-18  2.57E-17  1.11E-21  1.51E-19
  5.50E+03  6.13E-16  9.63E-17  1.60E-16  1.56E-17  3.20E-16  2.05E-18  3.47E-17  1.53E-21  2.41E-19
  5.00E+03  8.49E-16  1.34E-16  2.23E-16  2.15E-17  4.41E-16  2.95E-18  4.78E-17  2.16E-21  3.81E-19
  4.50E+03  1.22E-15  1.93E-16  3.22E-16  3.07E-17  6.28E-16  4.38E-18  6.88E-17  3.17E-21  5.97E-19
  4.00E+03  1.82E-15  2.91E-16  4.84E-16  4.56E-17  9.33E-16  6.75E-18  1.02E-16  4.84E-21  9.22E-19
  3.50E+03  2.86E-15  4.62E-16  7.68E-16  7.15E-17  1.46E-15  1.09E-17  1.60E-16  7.76E-21  1.40E-18
  3.00E+03  4.81E-15  7.88E-16  1.30E-15  1.20E-16  2.44E-15  1.86E-17  2.64E-16  1.33E-20  2.09E-18
  2.50E+03  8.88E-15  1.48E-15  2.43E-15  2.20E-16  4.46E-15  3.42E-17  4.78E-16  2.46E-20  3.03E-18
  2.10E+03  1.59E-14  2.70E-15  4.38E-15  3.91E-16  7.93E-15  6.00E-17  8.36E-16  4.41E-20  3.96E-18
  1.50E+03  4.76E-14  8.49E-15  1.32E-14  1.16E-15  2.34E-14  1.87E-16  2.32E-15  1.30E-19  5.49E-18
  1.38E+03  6.19E-14  1.12E-14  1.72E-14  1.51E-15  3.03E-14  2.46E-16  2.96E-15  1.69E-19  5.76E-18
  1.32E+03  7.16E-14  1.31E-14  1.99E-14  1.75E-15  3.50E-14  2.87E-16  3.38E-15  1.96E-19  5.89E-18
  1.15E+03  1.10E-13  2.07E-14  3.06E-14  2.69E-15  5.37E-14  4.48E-16  5.00E-15  3.06E-19  6.20E-18
  1.00E+03  1.70E-13  3.29E-14  4.68E-14  4.13E-15  8.22E-14  6.96E-16  7.30E-15  4.81E-19  6.36E-18
  9.97E+02  1.71E-13  3.32E-14  4.72E-14  4.17E-15  8.30E-14  7.03E-16  7.36E-15  4.86E-19  6.47E-18
  8.67E+02  2.59E-13  5.17E-14  7.14E-14  6.27E-15  1.24E-13  1.08E-15  1.06E-14  7.71E-19  1.34E-17
  8.50E+02  2.75E-13  5.52E-14  7.56E-14  6.65E-15  1.32E-13  1.15E-15  1.12E-14  8.24E-19  1.48E-17
  7.50E+02  4.00E-13  8.37E-14  1.07E-13  9.71E-15  1.92E-13  1.65E-15  1.51E-14  1.25E-18  2.55E-17
  6.00E+02  7.28E-13  1.65E-13  1.92E-13  1.75E-14  3.42E-13  3.08E-15  2.55E-14  2.66E-18  5.56E-17
  5.50E+02  9.00E-13  2.11E-13  2.30E-13  2.18E-14  4.24E-13  3.86E-15  3.10E-14  3.55E-18  7.13E-17
  5.00E+02  1.16E-12  2.78E-13  3.02E-13  2.78E-14  5.36E-13  4.89E-15  3.82E-14  4.86E-18  9.06E-17
  4.50E+02  1.54E-12  3.79E-13  4.19E-13  3.63E-14  6.91E-13  6.32E-15  4.78E-14  6.82E-18  1.14E-16
  4.00E+02  2.08E-12  5.35E-13  5.74E-13  4.79E-14  9.00E-13  8.27E-15  6.10E-14  9.87E-18  1.42E-16
  3.50E+02  2.79E-12  7.27E-13  8.66E-13  6.05E-14  1.11E-12  1.10E-14  7.95E-14  1.48E-17  1.73E-16
  3.00E+02  3.90E-12  1.08E-12  1.26E-12  8.07E-14  1.43E-12  1.50E-14  1.06E-13  2.29E-17  2.07E-16
  2.75E+02  4.49E-12  1.30E-12  1.48E-12  9.02E-14  1.56E-12  1.77E-14  1.25E-13  2.89E-17  2.25E-16
  2.50E+02  5.09E-12  1.54E-12  1.70E-12  9.94E-14  1.68E-12  2.10E-14  1.48E-13  3.69E-17  2.42E-16
  2.40E+02  5.34E-12  1.67E-12  1.78E-12  1.03E-13  1.71E-12  2.26E-14  1.58E-13  4.08E-17  2.52E-16
  2.00E+02  6.09E-12  2.15E-12  1.99E-12  1.11E-13  1.72E-12  3.05E-14  1.99E-13  6.16E-17  3.10E-16
  1.80E+02  6.13E-12  2.35E-12  1.90E-12  1.09E-13  1.62E-12  3.59E-14  2.25E-13  7.61E-17  3.39E-16
  1.60E+02  5.92E-12  2.56E-12  1.65E-12  1.02E-13  1.40E-12  4.27E-14  2.57E-13  9.42E-17  3.66E-16
  1.50E+02  5.71E-12  2.67E-12  1.48E-12  9.71E-14  1.25E-12  4.67E-14  2.73E-13  1.05E-16  3.78E-16
  1.40E+02  5.21E-12  2.57E-12  1.26E-12  8.60E-14  1.04E-12  5.15E-14  2.93E-13  1.17E-16  3.40E-16
  1.20E+02  4.26E-12  2.44E-12  7.78E-13  6.62E-14  6.39E-13  6.34E-14  3.37E-13  1.44E-16  2.54E-16
  1.00E+02  2.82E-12  1.74E-12  3.47E-13  3.83E-14  2.65E-13  8.03E-14  3.89E-13  1.79E-16  1.84E-16
  9.00E+01  2.17E-12  1.34E-12  1.85E-13  2.63E-14  1.39E-13  9.17E-14  4.17E-13  2.00E-16  1.54E-16
  8.00E+01  1.55E-12  8.62E-13  8.11E-14  1.51E-14  5.54E-14  1.06E-13  4.43E-13  2.26E-16  1.10E-16
  7.50E+01  1.29E-12  6.39E-13  4.94E-14  1.07E-14  3.20E-14  1.14E-13  4.54E-13  2.40E-16  9.23E-17
  7.00E+01  1.09E-12  4.55E-13  2.78E-14  7.19E-15  1.65E-14  1.24E-13  4.62E-13  2.56E-16  7.72E-17
  6.00E+01  7.92E-13  1.66E-13  6.12E-15  2.34E-15  2.86E-15  1.50E-13  4.67E-13  2.91E-16  5.31E-17
