 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   4.063E-09   4.492E-09   4.747E-09   7.576E-07
   9.000E-01   4.760E-09   5.303E-09   5.524E-09   8.928E-07
   8.000E-01   5.686E-09   6.388E-09   6.547E-09   1.074E-06
   7.000E-01   6.963E-09   7.892E-09   7.942E-09   1.321E-06
   6.000E-01   8.814E-09   1.008E-08   9.940E-09   1.683E-06
   5.500E-01   1.008E-08   1.158E-08   1.129E-08   1.931E-06
   5.000E-01   1.167E-08   1.349E-08   1.298E-08   2.241E-06
   4.500E-01   1.375E-08   1.597E-08   1.516E-08   2.650E-06
   4.000E-01   1.653E-08   1.929E-08   1.804E-08   3.190E-06
   3.500E-01   2.039E-08   2.392E-08   2.201E-08   3.952E-06
   3.000E-01   2.605E-08   3.068E-08   2.772E-08   5.044E-06
   2.500E-01   3.489E-08   4.123E-08   3.650E-08   6.756E-06
   2.098E-01   4.636E-08   5.481E-08   4.767E-08   8.960E-06
   1.500E-01   8.062E-08   9.486E-08   8.001E-08   1.545E-05
   1.382E-01   9.247E-08   1.085E-07   9.096E-08   1.768E-05
   1.320E-01   9.989E-08   1.169E-07   9.776E-08   1.907E-05
   1.150E-01   1.262E-07   1.468E-07   1.216E-07   2.393E-05
   1.000E-01   1.605E-07   1.846E-07   1.520E-07   3.012E-05
   9.970E-02   1.613E-07   1.855E-07   1.528E-07   3.028E-05
   8.670E-02   2.032E-07   2.340E-07   1.897E-07   3.810E-05
   8.500E-02   2.104E-07   2.418E-07   1.962E-07   3.939E-05
   7.500E-02   2.670E-07   2.975E-07   2.451E-07   4.881E-05
   6.000E-02   3.928E-07   4.298E-07   3.471E-07   7.070E-05
   5.500E-02   4.551E-07   4.820E-07   4.001E-07   8.075E-05
   5.000E-02   5.416E-07   5.982E-07   4.737E-07   9.772E-05
   4.500E-02   6.673E-07   7.938E-07   5.774E-07   1.240E-04
   4.000E-02   8.572E-07   1.063E-06   7.236E-07   1.612E-04
   3.500E-02   1.075E-06   1.620E-06   8.861E-07   2.242E-04
   3.000E-02   1.517E-06   2.530E-06   1.208E-06   3.322E-04
   2.750E-02   1.811E-06   3.184E-06   1.403E-06   4.090E-04
   2.500E-02   2.180E-06   4.053E-06   1.669E-06   5.112E-04
   2.400E-02   2.395E-06   4.485E-06   1.789E-06   5.623E-04
   2.000E-02   3.504E-06   6.947E-06   2.490E-06   8.501E-04
   1.800E-02   4.366E-06   8.577E-06   3.038E-06   1.056E-03
   1.600E-02   5.805E-06   1.060E-05   3.793E-06   1.336E-03
   1.500E-02   6.924E-06   1.184E-05   4.279E-06   1.520E-03
   1.400E-02   7.877E-06   1.323E-05   4.730E-06   1.718E-03
   1.200E-02   1.204E-05   1.668E-05   6.262E-06   2.308E-03
   1.000E-02   1.830E-05   2.168E-05   8.380E-06   3.210E-03
   9.000E-03   2.441E-05   2.449E-05   1.007E-05   3.876E-03
   8.000E-03   3.240E-05   2.829E-05   1.168E-05   4.761E-03
   7.500E-03   3.793E-05   3.124E-05   1.311E-05   5.390E-03
   7.000E-03   4.586E-05   3.492E-05   1.454E-05   6.221E-03
   6.000E-03   6.589E-05   4.446E-05   1.823E-05   8.433E-03
   5.000E-03   9.368E-05   6.240E-05   2.338E-05   1.220E-02
   4.500E-03   1.149E-04   7.528E-05   2.712E-05   1.516E-02
   4.000E-03   1.354E-04   9.081E-05   3.151E-05   1.903E-02
