 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   8.080E-05   6.244E-05   3.092E-04   5.147E-02
   1.500E-03   8.073E-05   6.208E-05   3.081E-04   5.092E-02
   1.450E-03   8.136E-05   6.369E-05   3.091E-04   4.924E-02
   1.440E-03   8.161E-05   6.441E-05   3.102E-04   4.911E-02
   1.430E-03   8.182E-05   6.501E-05   3.131E-04   4.915E-02
   1.420E-03   8.201E-05   6.558E-05   3.161E-04   4.918E-02
   1.400E-03   8.259E-05   6.691E-05   3.251E-04   4.965E-02
   1.380E-03   8.308E-05   6.816E-05   3.370E-04   5.050E-02
   1.370E-03   8.328E-05   6.886E-05   3.449E-04   5.120E-02
   1.360E-03   8.363E-05   6.955E-05   3.537E-04   5.201E-02
   1.350E-03   8.405E-05   7.044E-05   3.627E-04   5.286E-02
   1.340E-03   8.445E-05   7.131E-05   3.722E-04   5.385E-02
   1.330E-03   8.470E-05   7.241E-05   3.816E-04   5.490E-02
   1.320E-03   8.507E-05   7.355E-05   3.915E-04   5.598E-02
   1.310E-03   8.516E-05   7.489E-05   4.012E-04   5.715E-02
   1.290E-03   8.501E-05   7.813E-05   4.210E-04   5.958E-02
   1.280E-03   8.499E-05   7.985E-05   4.324E-04   6.104E-02
   1.270E-03   8.522E-05   8.125E-05   4.445E-04   6.249E-02
   1.260E-03   8.540E-05   8.336E-05   4.562E-04   6.397E-02
   1.250E-03   8.546E-05   8.616E-05   4.675E-04   6.553E-02
   1.220E-03   8.685E-05   1.030E-04   5.051E-04   7.157E-02
   1.210E-03   8.697E-05   1.142E-04   5.173E-04   7.443E-02
   1.200E-03   8.700E-05   1.274E-04   5.300E-04   7.766E-02
   1.190E-03   8.763E-05   1.413E-04   5.438E-04   8.118E-02
   1.180E-03   8.801E-05   1.546E-04   5.551E-04   8.470E-02
   1.170E-03   8.828E-05   1.662E-04   5.663E-04   8.818E-02
   1.160E-03   8.865E-05   1.757E-04   5.760E-04   9.142E-02
   1.150E-03   8.867E-05   1.834E-04   5.848E-04   9.475E-02
   1.140E-03   8.856E-05   1.896E-04   5.942E-04   9.767E-02
   1.130E-03   8.859E-05   1.947E-04   6.042E-04   1.007E-01
   1.120E-03   8.863E-05   1.991E-04   6.132E-04   1.036E-01
   1.110E-03   8.860E-05   2.032E-04   6.217E-04   1.066E-01
   1.090E-03   8.884E-05   2.104E-04   6.364E-04   1.126E-01
   1.050E-03   9.015E-05   2.189E-04   6.564E-04   1.271E-01
   1.000E-03   9.244E-05   2.165E-04   6.035E-04   1.398E-01
   9.800E-04   9.350E-05   2.082E-04   5.788E-04   1.441E-01
   9.600E-04   9.438E-05   1.942E-04   5.407E-04   1.472E-01
   9.500E-04   9.521E-05   1.856E-04   5.131E-04   1.476E-01
   9.400E-04   9.528E-05   1.764E-04   4.797E-04   1.466E-01
   9.200E-04   9.591E-05   1.580E-04   4.068E-04   1.396E-01
   8.900E-04   9.743E-05   1.301E-04   3.225E-04   1.210E-01
   8.700E-04   9.718E-05   1.144E-04   2.901E-04   1.086E-01
   8.600E-04   9.789E-05   1.076E-04   2.801E-04   1.036E-01
   8.500E-04   9.792E-05   1.004E-04   2.701E-04   9.873E-02
   8.400E-04   9.871E-05   9.285E-05   2.600E-04   9.373E-02
   8.200E-04   9.840E-05   7.729E-05   2.359E-04   8.141E-02
   8.000E-04   9.898E-05   6.432E-05   2.188E-04   6.881E-02
   7.900E-04   9.964E-05   5.964E-05   2.184E-04   6.462E-02
   7.800E-04   9.941E-05   5.584E-05   2.162E-04   6.053E-02
   7.700E-04   9.913E-05   5.257E-05   2.165E-04   5.734E-02
   7.600E-04   9.892E-05   4.970E-05   2.194E-04   5.507E-02
   7.500E-04   9.870E-05   4.712E-05   2.226E-04   5.307E-02
   7.300E-04   9.936E-05   4.319E-05   2.363E-04   5.164E-02
   7.200E-04   9.913E-05   4.210E-05   2.423E-04   5.149E-02
   7.100E-04   9.900E-05   4.150E-05   2.494E-04   5.152E-02
   7.000E-04   9.971E-05   4.081E-05   2.573E-04   5.197E-02
   6.900E-04   9.926E-05   3.955E-05   2.628E-04   5.209E-02
   6.800E-04   9.732E-05   3.780E-05   2.667E-04   5.170E-02
   6.600E-04   9.830E-05   3.470E-05   2.846E-04   5.233E-02
   6.400E-04   1.012E-04   3.066E-05   3.046E-04   5.352E-02
   6.300E-04   1.028E-04   2.896E-05   3.134E-04   5.429E-02
   6.200E-04   1.027E-04   2.881E-05   3.200E-04   5.495E-02
   6.100E-04   1.034E-04   2.884E-05   3.284E-04   5.582E-02
   5.900E-04   1.067E-04   2.411E-05   3.480E-04   5.742E-02
   5.500E-04   9.998E-05   1.883E-05   3.689E-04   5.825E-02
   5.300E-04   1.012E-04   1.728E-05   3.927E-04   6.053E-02
   5.200E-04   1.012E-04   1.650E-05   4.040E-04   6.168E-02
   5.100E-04   1.023E-04   1.571E-05   4.176E-04   6.319E-02
   5.000E-04   1.033E-04   1.494E-05   4.309E-04   6.476E-02
   4.800E-04   1.044E-04   1.382E-05   4.568E-04   6.803E-02
   4.500E-04   1.072E-04   1.260E-05   4.980E-04   7.421E-02
   4.000E-04   1.115E-04   1.168E-05   5.756E-04   8.725E-02
   3.800E-04   1.143E-04   1.180E-05   6.095E-04   9.384E-02
   3.600E-04   1.176E-04   1.233E-05   6.455E-04   1.013E-01
   3.400E-04   1.233E-04   1.341E-05   6.816E-04   1.098E-01
   3.300E-04   1.232E-04   1.421E-05   6.982E-04   1.138E-01
   3.200E-04   1.247E-04   1.519E-05   7.200E-04   1.185E-01
   3.150E-04   1.263E-04   1.580E-05   7.314E-04   1.211E-01
   3.100E-04   1.279E-04   1.646E-05   7.418E-04   1.238E-01
   3.080E-04   1.285E-04   1.675E-05   7.457E-04   1.249E-01
   3.050E-04   1.291E-04   1.720E-05   7.516E-04   1.265E-01
   3.000E-04   1.305E-04   1.804E-05   7.619E-04   1.293E-01
   2.900E-04   1.341E-04   2.000E-05   7.813E-04   1.353E-01
   2.800E-04   1.362E-04   2.243E-05   7.999E-04   1.414E-01
   2.600E-04   1.442E-04   2.918E-05   8.431E-04   1.555E-01
   2.500E-04   1.501E-04   3.387E-05   8.667E-04   1.634E-01
   2.200E-04   1.758E-04   5.671E-05   9.286E-04   1.907E-01
   2.159E-04   1.796E-04   6.135E-05   9.353E-04   1.947E-01
   2.000E-04   2.010E-04   8.485E-05   9.641E-04   2.121E-01
   1.662E-04   2.704E-04   1.882E-04   9.927E-04   2.563E-01
   1.650E-04   2.738E-04   1.941E-04   9.928E-04   2.581E-01
   1.250E-04   4.554E-04   5.984E-04   9.225E-04   3.437E-01
   1.235E-04   4.651E-04   6.254E-04   9.156E-04   3.484E-01
   1.130E-04   5.373E-04   8.505E-04   8.632E-04   3.868E-01
   1.000E-04   6.342E-04   1.235E-03   7.706E-04   4.541E-01
   9.500E-05   6.668E-04   1.425E-03   7.266E-04   4.885E-01
   9.300E-05   6.785E-04   1.508E-03   7.082E-04   5.040E-01
   9.200E-05   6.841E-04   1.552E-03   6.989E-04   5.122E-01
   9.100E-05   6.895E-04   1.597E-03   6.897E-04   5.206E-01
   9.000E-05   6.948E-04   1.642E-03   6.806E-04   5.294E-01
   8.900E-05   7.001E-04   1.689E-03   6.714E-04   5.385E-01
   8.800E-05   7.053E-04   1.737E-03   6.622E-04   5.479E-01
   8.700E-05   7.105E-04   1.786E-03   6.528E-04   5.577E-01
   8.600E-05   7.158E-04   1.836E-03   6.436E-04   5.679E-01
   8.500E-05   7.212E-04   1.886E-03   6.343E-04   5.785E-01
   8.400E-05   7.267E-04   1.937E-03   6.251E-04   5.894E-01
   8.330E-05   7.306E-04   1.973E-03   6.187E-04   5.973E-01
   8.200E-05   7.378E-04   2.040E-03   6.068E-04   6.126E-01
   8.100E-05   7.434E-04   2.093E-03   5.975E-04   6.247E-01
   8.000E-05   7.488E-04   2.145E-03   5.879E-04   6.373E-01
   7.900E-05   7.540E-04   2.199E-03   5.779E-04   6.503E-01
   7.800E-05   7.588E-04   2.253E-03   5.676E-04   6.638E-01
   7.700E-05   7.632E-04   2.308E-03   5.570E-04   6.776E-01
   7.600E-05   7.670E-04   2.365E-03   5.459E-04   6.918E-01
   7.500E-05   7.699E-04   2.423E-03   5.344E-04   7.065E-01
   7.400E-05   7.722E-04   2.482E-03   5.225E-04   7.215E-01
   7.300E-05   7.736E-04   2.544E-03   5.102E-04   7.370E-01
   7.140E-05   7.741E-04   2.648E-03   4.896E-04   7.627E-01
   7.100E-05   7.739E-04   2.675E-03   4.844E-04   7.693E-01
   7.000E-05   7.728E-04   2.744E-03   4.714E-04   7.861E-01
   6.900E-05   7.709E-04   2.816E-03   4.585E-04   8.035E-01
   6.800E-05   7.684E-04   2.889E-03   4.457E-04   8.215E-01
   6.700E-05   7.650E-04   2.962E-03   4.333E-04   8.401E-01
   6.600E-05   7.610E-04   3.035E-03   4.211E-04   8.594E-01
   6.500E-05   7.562E-04   3.106E-03   4.093E-04   8.795E-01
   6.400E-05   7.506E-04   3.175E-03   3.979E-04   9.004E-01
   6.300E-05   7.441E-04   3.241E-03   3.866E-04   9.220E-01
   6.250E-05   7.405E-04   3.273E-03   3.809E-04   9.332E-01
   6.200E-05   7.366E-04   3.304E-03   3.751E-04   9.445E-01
   6.100E-05   7.280E-04   3.365E-03   3.635E-04   9.679E-01
   6.000E-05   7.183E-04   3.427E-03   3.515E-04   9.921E-01
   5.900E-05   7.073E-04   3.491E-03   3.390E-04   1.017E+00
   5.800E-05   6.950E-04   3.560E-03   3.261E-04   1.043E+00
   5.700E-05   6.815E-04   3.635E-03   3.129E-04   1.070E+00
   5.600E-05   6.667E-04   3.717E-03   2.995E-04   1.098E+00
   5.500E-05   6.509E-04   3.805E-03   2.863E-04   1.126E+00
   5.477E-05   6.471E-04   3.826E-03   2.833E-04   1.134E+00
   5.400E-05   6.342E-04   3.897E-03   2.734E-04   1.156E+00
   5.300E-05   6.165E-04   3.990E-03   2.610E-04   1.187E+00
   5.200E-05   5.981E-04   4.080E-03   2.493E-04   1.219E+00
   5.100E-05   5.789E-04   4.161E-03   2.381E-04   1.251E+00
   5.000E-05   5.593E-04   4.232E-03   2.274E-04   1.285E+00
   4.900E-05   5.391E-04   4.293E-03   2.170E-04   1.319E+00
   4.880E-05   5.351E-04   4.304E-03   2.149E-04   1.326E+00
   4.800E-05   5.187E-04   4.348E-03   2.066E-04   1.355E+00
   4.760E-05   5.106E-04   4.369E-03   2.025E-04   1.370E+00
   4.700E-05   4.982E-04   4.399E-03   1.963E-04   1.392E+00
   4.650E-05   4.880E-04   4.424E-03   1.911E-04   1.411E+00
   4.600E-05   4.777E-04   4.451E-03   1.859E-04   1.430E+00
   4.550E-05   4.673E-04   4.479E-03   1.807E-04   1.450E+00
   4.500E-05   4.569E-04   4.510E-03   1.756E-04   1.470E+00
   4.440E-05   4.444E-04   4.552E-03   1.697E-04   1.493E+00
   4.350E-05   4.253E-04   4.622E-03   1.612E-04   1.530E+00
   4.170E-05   3.862E-04   4.739E-03   1.459E-04   1.607E+00
   4.000E-05   3.476E-04   4.778E-03   1.325E-04   1.683E+00
   3.850E-05   3.126E-04   4.793E-03   1.209E-04   1.751E+00
   3.656E-05   2.674E-04   4.818E-03   1.071E-04   1.838E+00
   3.570E-05   2.477E-04   4.807E-03   1.010E-04   1.877E+00
   3.330E-05   1.955E-04   4.719E-03   8.618E-05   1.988E+00
   3.130E-05   1.553E-04   4.560E-03   7.479E-05   2.081E+00
   3.000E-05   1.306E-04   4.398E-03   6.683E-05   2.146E+00
   2.940E-05   1.196E-04   4.435E-03   6.376E-05   2.176E+00
   2.780E-05   9.001E-05   4.246E-03   5.657E-05   2.267E+00
   2.630E-05   6.546E-05   4.002E-03   4.942E-05   2.389E+00
   2.500E-05   4.861E-05   3.965E-03   4.479E-05   2.564E+00
   2.380E-05   3.608E-05   3.821E-03   4.003E-05   2.889E+00
   2.270E-05   2.763E-05   3.413E-03   3.658E-05   3.296E+00
   2.170E-05   2.329E-05   3.053E-03   3.420E-05   3.486E+00
   2.080E-05   2.108E-05   3.064E-03   3.037E-05   3.453E+00
   2.000E-05   2.035E-05   2.590E-03   2.873E-05   3.306E+00
   1.920E-05   1.989E-05   1.836E-03   2.558E-05   3.127E+00
   1.850E-05   2.008E-05   1.651E-03   2.254E-05   3.024E+00
   1.790E-05   2.176E-05   1.564E-03   2.078E-05   2.975E+00
   1.720E-05   2.464E-05   1.372E-03   1.712E-05   2.976E+00
   1.670E-05   2.769E-05   1.243E-03   1.362E-05   3.004E+00
   1.610E-05   3.252E-05   1.105E-03   1.043E-05   3.090E+00
   1.560E-05   3.699E-05   9.632E-04   6.257E-06   3.208E+00
   1.520E-05   4.075E-05   8.186E-04   4.194E-06   3.341E+00
   1.470E-05   4.586E-05   6.156E-04   7.391E-06   3.533E+00
   1.430E-05   5.018E-05   4.490E-04   1.258E-05   3.705E+00
   1.390E-05   5.427E-05   3.345E-04   1.568E-05   3.838E+00
   1.350E-05   5.761E-05   2.508E-04   1.657E-05   3.967E+00
   1.320E-05   5.974E-05   2.123E-04   1.845E-05   4.070E+00
   1.280E-05   6.254E-05   1.887E-04   2.035E-05   4.225E+00
   1.250E-05   6.489E-05   1.803E-04   2.037E-05   4.360E+00
   1.220E-05   6.737E-05   1.737E-04   2.142E-05   4.520E+00
   1.190E-05   6.979E-05   1.772E-04   2.156E-05   4.719E+00
   1.160E-05   7.192E-05   1.890E-04   2.284E-05   4.939E+00
   1.140E-05   7.315E-05   2.108E-04   2.457E-05   5.102E+00
   1.110E-05   7.467E-05   2.601E-04   2.266E-05   5.371E+00
   1.080E-05   7.577E-05   3.309E-04   2.237E-05   5.763E+00
   1.050E-05   7.646E-05   4.013E-04   2.374E-05   6.255E+00
   1.030E-05   7.670E-05   4.492E-04   2.244E-05   6.686E+00
   1.000E-05   7.665E-05   5.188E-04   2.363E-05   7.305E+00
   9.750E-06   7.634E-05   5.788E-04   2.086E-05   7.872E+00
   9.500E-06   7.574E-05   6.363E-04   2.191E-05   8.493E+00
   9.250E-06   7.484E-05   6.923E-04   1.854E-05   9.055E+00
   9.080E-06   7.408E-05   7.287E-04   1.874E-05   9.375E+00
