 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 6.79E-08 3.31E-17 4.13E-07 7.00E-17 9.68E-09 7.54E-23 1.38E-07 1.92E-22 4.72E-12 8.16E-07 9.78E-15 1.444E-06
9.000E-01 7.96E-08 5.04E-17 4.87E-07 1.07E-16 1.23E-08 1.15E-22 1.64E-07 2.93E-22 5.82E-12 9.50E-07 1.49E-14 1.693E-06
8.000E-01 9.51E-08 8.07E-17 5.87E-07 1.71E-16 1.61E-08 1.84E-22 2.00E-07 4.69E-22 7.37E-12 1.13E-06 2.38E-14 2.024E-06
7.000E-01 1.16E-07 1.38E-16 7.25E-07 2.92E-16 2.16E-08 3.14E-22 2.46E-07 8.00E-22 9.62E-12 1.37E-06 4.06E-14 2.476E-06
6.000E-01 1.47E-07 2.55E-16 9.26E-07 5.40E-16 3.00E-08 5.82E-22 3.16E-07 1.48E-21 1.31E-11 1.71E-06 7.51E-14 3.132E-06
5.500E-01 1.69E-07 3.61E-16 1.06E-06 7.65E-16 3.59E-08 8.24E-22 3.64E-07 2.10E-21 1.56E-11 1.95E-06 1.06E-13 3.578E-06
5.000E-01 1.95E-07 5.28E-16 1.24E-06 1.12E-15 4.35E-08 1.21E-21 4.22E-07 3.07E-21 1.89E-11 2.24E-06 1.56E-13 4.139E-06
4.500E-01 2.30E-07 8.05E-16 1.47E-06 1.71E-15 5.36E-08 1.84E-21 5.04E-07 4.68E-21 2.33E-11 2.62E-06 2.37E-13 4.870E-06
4.000E-01 2.77E-07 1.29E-15 1.77E-06 2.73E-15 6.71E-08 2.95E-21 6.05E-07 7.49E-21 2.95E-11 3.12E-06 3.79E-13 5.836E-06
3.500E-01 3.41E-07 2.20E-15 2.20E-06 4.66E-15 8.60E-08 5.03E-21 7.58E-07 1.28E-20 3.85E-11 3.80E-06 6.45E-13 7.185E-06
3.000E-01 4.36E-07 4.07E-15 2.82E-06 8.64E-15 1.13E-07 9.31E-21 9.62E-07 2.36E-20 5.24E-11 4.79E-06 1.19E-12 9.122E-06
2.500E-01 5.84E-07 8.44E-15 3.79E-06 1.79E-14 1.55E-07 1.93E-20 1.29E-06 4.90E-20 7.54E-11 6.32E-06 2.47E-12 1.214E-05
2.098E-01 7.76E-07 1.70E-14 5.03E-06 3.61E-14 2.05E-07 3.89E-20 1.72E-06 9.88E-20 1.07E-10 8.26E-06 4.97E-12 1.599E-05
1.500E-01 1.35E-06 6.50E-14 8.71E-06 1.38E-13 3.92E-07 1.49E-19 2.94E-06 3.77E-19 2.10E-10 1.39E-05 1.89E-11 2.729E-05
1.382E-01 1.55E-06 9.02E-14 9.96E-06 1.92E-13 4.62E-07 2.07E-19 3.37E-06 5.24E-19 2.47E-10 1.58E-05 2.62E-11 3.116E-05
1.320E-01 1.67E-06 1.08E-13 1.07E-05 2.31E-13 5.06E-07 2.48E-19 3.63E-06 6.29E-19 2.71E-10 1.70E-05 3.15E-11 3.355E-05
1.150E-01 2.11E-06 1.88E-13 1.35E-05 4.00E-13 6.63E-07 4.31E-19 4.53E-06 1.09E-18 3.57E-10 2.12E-05 5.45E-11 4.196E-05
