 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  6.75E-14  1.23E-27  1.23E-27  1.18E-33  2.27E-33
  1.67E+01  6.22E-14  5.79E-28  5.79E-28  4.02E-34  8.04E-34
  1.65E+01  5.86E-14  3.46E-28  3.46E-28  1.91E-34  3.95E-34
  1.64E+01  5.68E-14  2.66E-28  2.66E-28  1.31E-34  2.74E-34
  1.63E+01  5.50E-14  2.04E-28  2.04E-28  8.91E-35  1.90E-34
  1.61E+01  5.15E-14  1.18E-28  1.18E-28  4.07E-35  8.99E-35
  1.60E+01  4.98E-14  8.94E-29  8.94E-29  2.73E-35  6.15E-35
  1.59E+01  4.82E-14  6.75E-29  6.75E-29  1.82E-35  4.18E-35
  1.58E+01  4.67E-14  5.07E-29  5.07E-29  1.21E-35  2.83E-35
  1.57E+01  4.52E-14  3.79E-29  3.79E-29  8.01E-36  1.91E-35
  1.56E+01  4.37E-14  2.83E-29  2.83E-29  5.30E-36  1.28E-35
  1.54E+01  4.10E-14  1.56E-29  1.56E-29  2.30E-36  5.70E-36
  1.52E+01  3.85E-14  8.43E-30  8.43E-30  9.96E-37  2.48E-36
  1.51E+01  3.74E-14  6.15E-30  6.15E-30  6.56E-37  1.62E-36
  1.50E+01  3.63E-14  4.46E-30  4.46E-30  4.32E-37  1.05E-36
  1.45E+01  3.18E-14  8.45E-31  8.45E-31  5.15E-38  1.14E-37
  1.44E+01  3.12E-14  5.98E-31  5.98E-31  3.33E-38  7.20E-38
  1.43E+01  3.08E-14  4.21E-31  4.21E-31  2.13E-38  4.54E-38
  1.42E+01  3.02E-14  2.95E-31  2.95E-31  1.35E-38  2.84E-38
  1.40E+01  2.96E-14  1.43E-31  1.43E-31  5.38E-39  1.10E-38
  1.38E+01  2.97E-14  6.75E-32  6.75E-32  2.08E-39  4.18E-39
  1.37E+01  3.03E-14  4.60E-32  4.60E-32  1.28E-39  2.56E-39
  1.36E+01  3.10E-14  3.12E-32  3.12E-32  7.80E-40  1.56E-39
  1.35E+01  3.13E-14  2.11E-32  2.11E-32  4.74E-40  9.46E-40
  1.34E+01  3.18E-14  1.42E-32  1.42E-32  2.86E-40  5.68E-40
  1.33E+01  3.28E-14  9.43E-33  9.43E-33  1.71E-40  3.38E-40
  1.32E+01  3.44E-14  6.25E-33  6.25E-33  1.02E-40  2.00E-40
  1.31E+01  3.72E-14  4.10E-33  4.10E-33  0.00E+00  1.17E-40
  1.29E+01  4.90E-14  1.72E-33  1.72E-33  0.00E+00  0.00E+00
  1.28E+01  5.98E-14  1.11E-33  1.11E-33  0.00E+00  0.00E+00
  1.27E+01  6.69E-14  7.08E-34  7.08E-34  0.00E+00  0.00E+00
  1.26E+01  6.15E-14  4.49E-34  4.49E-34  0.00E+00  0.00E+00
  1.25E+01  5.26E-14  2.82E-34  2.82E-34  0.00E+00  0.00E+00
  1.22E+01  4.74E-14  6.80E-35  6.80E-35  0.00E+00  0.00E+00
  1.21E+01  5.06E-14  4.14E-35  4.14E-35  0.00E+00  0.00E+00
  1.20E+01  5.33E-14  2.50E-35  2.50E-35  0.00E+00  0.00E+00
  1.19E+01  5.35E-14  1.51E-35  1.51E-35  0.00E+00  0.00E+00
  1.18E+01  5.36E-14  8.99E-36  8.99E-36  0.00E+00  0.00E+00
  1.17E+01  5.66E-14  5.30E-36  5.30E-36  0.00E+00  0.00E+00
  1.16E+01  6.48E-14  3.10E-36  3.10E-36  0.00E+00  0.00E+00
  1.15E+01  8.40E-14  1.79E-36  1.79E-36  0.00E+00  0.00E+00
  1.14E+01  1.08E-13  1.02E-36  1.02E-36  0.00E+00  0.00E+00
  1.13E+01  1.25E-13  5.78E-37  5.78E-37  0.00E+00  0.00E+00
  1.12E+01  1.07E-13  3.24E-37  3.24E-37  0.00E+00  0.00E+00
  1.11E+01  7.91E-14  1.79E-37  1.79E-37  0.00E+00  0.00E+00
  1.09E+01  5.13E-14  5.33E-38  5.33E-38  0.00E+00  0.00E+00
  1.05E+01  4.00E-14  4.14E-39  4.14E-39  0.00E+00  0.00E+00
  1.00E+01  3.70E-14  1.27E-40  1.27E-40  0.00E+00  0.00E+00
  9.80E+00  3.65E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  3.60E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  3.55E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  3.47E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  3.17E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  2.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  2.75E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  3.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  2.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  2.13E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  1.86E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  1.89E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  2.03E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  2.18E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  2.21E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
