 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  6.91E-14  1.41E-27  1.41E-27  1.22E-33  2.88E-33
  1.67E+01  6.36E-14  6.63E-28  6.63E-28  4.14E-34  1.02E-33
  1.65E+01  5.99E-14  3.97E-28  3.97E-28  1.97E-34  5.01E-34
  1.64E+01  5.80E-14  3.05E-28  3.05E-28  1.35E-34  3.49E-34
  1.63E+01  5.62E-14  2.33E-28  2.33E-28  9.18E-35  2.41E-34
  1.61E+01  5.26E-14  1.35E-28  1.35E-28  4.19E-35  1.14E-34
  1.60E+01  5.09E-14  1.02E-28  1.02E-28  2.81E-35  7.81E-35
  1.59E+01  4.92E-14  7.73E-29  7.73E-29  1.88E-35  5.32E-35
  1.58E+01  4.76E-14  5.81E-29  5.81E-29  1.25E-35  3.60E-35
  1.57E+01  4.61E-14  4.34E-29  4.34E-29  8.25E-36  2.43E-35
  1.56E+01  4.46E-14  3.24E-29  3.24E-29  5.45E-36  1.63E-35
  1.54E+01  4.18E-14  1.79E-29  1.79E-29  2.37E-36  7.24E-36
  1.52E+01  3.93E-14  9.66E-30  9.66E-30  1.03E-36  3.15E-36
  1.51E+01  3.81E-14  7.05E-30  7.05E-30  6.76E-37  2.06E-36
  1.50E+01  3.70E-14  5.11E-30  5.11E-30  4.45E-37  1.34E-36
  1.45E+01  3.23E-14  9.68E-31  9.68E-31  5.30E-38  1.45E-37
  1.44E+01  3.17E-14  6.85E-31  6.85E-31  3.43E-38  9.15E-38
  1.43E+01  3.12E-14  4.82E-31  4.82E-31  2.19E-38  5.77E-38
  1.42E+01  3.07E-14  3.38E-31  3.38E-31  1.39E-38  3.61E-38
  1.40E+01  3.00E-14  1.63E-31  1.63E-31  5.54E-39  1.40E-38
  1.38E+01  3.01E-14  7.73E-32  7.73E-32  2.14E-39  5.32E-39
  1.37E+01  3.07E-14  5.27E-32  5.27E-32  1.32E-39  3.26E-39
  1.36E+01  3.13E-14  3.58E-32  3.58E-32  8.04E-40  1.99E-39
  1.35E+01  3.16E-14  2.42E-32  2.42E-32  4.88E-40  1.20E-39
  1.34E+01  3.21E-14  1.62E-32  1.62E-32  2.94E-40  7.22E-40
  1.33E+01  3.31E-14  1.08E-32  1.08E-32  1.76E-40  4.30E-40
  1.32E+01  3.46E-14  7.16E-33  7.16E-33  1.05E-40  2.54E-40
  1.31E+01  3.72E-14  4.70E-33  4.70E-33  0.00E+00  1.49E-40
  1.29E+01  4.86E-14  1.97E-33  1.97E-33  0.00E+00  0.00E+00
  1.28E+01  5.89E-14  1.27E-33  1.27E-33  0.00E+00  0.00E+00
  1.27E+01  6.58E-14  8.11E-34  8.11E-34  0.00E+00  0.00E+00
  1.26E+01  6.06E-14  5.14E-34  5.14E-34  0.00E+00  0.00E+00
  1.25E+01  5.21E-14  3.24E-34  3.24E-34  0.00E+00  0.00E+00
  1.22E+01  4.73E-14  7.79E-35  7.79E-35  0.00E+00  0.00E+00
  1.21E+01  5.04E-14  4.75E-35  4.75E-35  0.00E+00  0.00E+00
  1.20E+01  5.29E-14  2.87E-35  2.87E-35  0.00E+00  0.00E+00
  1.19E+01  5.32E-14  1.73E-35  1.73E-35  0.00E+00  0.00E+00
  1.18E+01  5.33E-14  1.03E-35  1.03E-35  0.00E+00  0.00E+00
  1.17E+01  5.62E-14  6.08E-36  6.08E-36  0.00E+00  0.00E+00
  1.16E+01  6.41E-14  3.56E-36  3.56E-36  0.00E+00  0.00E+00
  1.15E+01  8.27E-14  2.05E-36  2.05E-36  0.00E+00  0.00E+00
  1.14E+01  1.05E-13  1.17E-36  1.17E-36  0.00E+00  0.00E+00
  1.13E+01  1.22E-13  6.62E-37  6.62E-37  0.00E+00  0.00E+00
  1.12E+01  1.04E-13  3.71E-37  3.71E-37  0.00E+00  0.00E+00
  1.11E+01  7.80E-14  2.05E-37  2.05E-37  0.00E+00  0.00E+00
  1.09E+01  5.14E-14  6.11E-38  6.11E-38  0.00E+00  0.00E+00
  1.05E+01  4.07E-14  4.75E-39  4.75E-39  0.00E+00  0.00E+00
  1.00E+01  3.79E-14  1.46E-40  1.46E-40  0.00E+00  0.00E+00
  9.80E+00  3.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.60E+00  3.70E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E+00  3.64E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  3.56E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  3.25E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  2.69E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  2.77E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  3.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  2.53E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  2.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  1.86E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  1.87E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  2.00E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  2.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  2.16E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  1.99E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
