 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  7.87E-17  2.44E-18  3.38E-19  3.48E-19  1.75E-18
  9.00E+03  1.13E-16  3.49E-18  4.87E-19  5.04E-19  2.50E-18
  8.00E+03  1.70E-16  5.22E-18  7.32E-19  7.62E-19  3.72E-18
  7.00E+03  2.68E-16  8.22E-18  1.16E-18  1.22E-18  5.84E-18
  6.00E+03  4.55E-16  1.39E-17  1.98E-18  2.09E-18  9.83E-18
  5.50E+03  6.13E-16  1.87E-17  2.68E-18  2.83E-18  1.32E-17
  5.00E+03  8.49E-16  2.58E-17  3.73E-18  3.95E-18  1.82E-17
  4.50E+03  1.22E-15  3.69E-17  5.38E-18  5.69E-18  2.59E-17
  4.00E+03  1.82E-15  5.50E-17  8.09E-18  8.56E-18  3.84E-17
  3.50E+03  2.86E-15  8.64E-17  1.28E-17  1.36E-17  6.00E-17
  3.00E+03  4.81E-15  1.45E-16  2.19E-17  2.30E-17  1.00E-16
  2.50E+03  8.88E-15  2.67E-16  4.11E-17  4.28E-17  1.83E-16
  2.10E+03  1.59E-14  4.77E-16  7.51E-17  7.72E-17  3.25E-16
  1.50E+03  4.76E-14  1.43E-15  2.36E-16  2.32E-16  9.57E-16
  1.38E+03  6.19E-14  1.85E-15  3.11E-16  3.02E-16  1.24E-15
  1.32E+03  7.16E-14  2.14E-15  3.63E-16  3.49E-16  1.43E-15
  1.15E+03  1.10E-13  3.31E-15  5.75E-16  5.36E-16  2.20E-15
  1.00E+03  1.70E-13  5.09E-15  9.12E-16  8.19E-16  3.36E-15
  9.97E+02  1.71E-13  5.14E-15  9.21E-16  8.26E-16  3.39E-15
  8.67E+02  2.59E-13  7.75E-15  1.43E-15  1.25E-15  5.07E-15
  8.50E+02  2.75E-13  8.23E-15  1.53E-15  1.32E-15  5.38E-15
  7.50E+02  4.00E-13  1.20E-14  2.32E-15  1.87E-15  7.82E-15
  6.00E+02  7.28E-13  2.18E-14  4.56E-15  3.33E-15  1.39E-14
  5.50E+02  9.00E-13  2.71E-14  5.84E-15  3.98E-15  1.73E-14
  5.00E+02  1.16E-12  3.48E-14  7.69E-15  5.22E-15  2.18E-14
  4.50E+02  1.54E-12  4.59E-14  1.05E-14  7.23E-15  2.82E-14
  4.00E+02  2.08E-12  6.13E-14  1.48E-14  9.88E-15  3.66E-14
  3.50E+02  2.79E-12  7.99E-14  2.01E-14  1.48E-14  4.51E-14
  3.00E+02  3.90E-12  1.09E-13  2.98E-14  2.13E-14  5.82E-14
  2.75E+02  4.49E-12  1.24E-13  3.57E-14  2.47E-14  6.36E-14
  2.50E+02  5.09E-12  1.39E-13  4.24E-14  2.78E-14  6.85E-14
  2.40E+02  5.34E-12  1.44E-13  4.59E-14  2.89E-14  6.96E-14
  2.00E+02  6.09E-12  1.60E-13  5.90E-14  3.08E-14  6.99E-14
  1.80E+02  6.13E-12  1.59E-13  6.46E-14  2.84E-14  6.56E-14
  1.60E+02  5.92E-12  1.51E-13  7.04E-14  2.35E-14  5.67E-14
  1.50E+02  5.71E-12  1.44E-13  7.33E-14  2.03E-14  5.03E-14
  1.40E+02  5.21E-12  1.29E-13  7.03E-14  1.67E-14  4.18E-14
  1.20E+02  4.26E-12  1.02E-13  6.68E-14  9.32E-15  2.56E-14
  1.00E+02  2.82E-12  6.13E-14  4.72E-14  3.56E-15  1.06E-14
  9.00E+01  2.17E-12  4.33E-14  3.61E-14  1.71E-15  5.52E-15
  8.00E+01  1.55E-12  2.57E-14  2.29E-14  6.57E-16  2.17E-15
  7.50E+01  1.29E-12  1.85E-14  1.69E-14  3.70E-16  1.26E-15
  7.00E+01  1.09E-12  1.27E-14  1.19E-14  1.89E-16  6.42E-16
  6.00E+01  7.92E-13  4.34E-15  4.20E-15  3.29E-17  1.10E-16
