 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E-04 9.64E-02 7.34E-02 2.12E-04 8.44E-02 1.59E-02 2.74E-07 1.28E-02 4.36E-07 8.70E-04 1.37E-02 3.79E-02 3.355E-01
9.500E-05 1.04E-01 8.40E-02 2.16E-04 1.00E-01 1.72E-02 3.34E-07 1.35E-02 5.35E-07 9.95E-04 1.43E-02 3.84E-02 3.727E-01
9.300E-05 1.07E-01 8.86E-02 2.19E-04 1.07E-01 1.78E-02 3.63E-07 1.37E-02 5.82E-07 1.05E-03 1.45E-02 3.85E-02 3.891E-01
9.200E-05 1.09E-01 9.10E-02 2.25E-04 1.11E-01 1.82E-02 3.79E-07 1.39E-02 6.08E-07 1.08E-03 1.46E-02 3.86E-02 3.977E-01
9.100E-05 1.11E-01 9.34E-02 2.25E-04 1.15E-01 1.85E-02 3.95E-07 1.40E-02 6.35E-07 1.11E-03 1.47E-02 3.86E-02 4.065E-01
9.000E-05 1.12E-01 9.59E-02 2.32E-04 1.20E-01 1.88E-02 4.13E-07 1.42E-02 6.64E-07 1.14E-03 1.48E-02 3.86E-02 4.155E-01
8.900E-05 1.14E-01 9.84E-02 2.37E-04 1.24E-01 1.91E-02 4.31E-07 1.43E-02 6.94E-07 1.18E-03 1.49E-02 3.86E-02 4.249E-01
8.800E-05 1.16E-01 1.01E-01 2.40E-04 1.29E-01 1.95E-02 4.50E-07 1.45E-02 7.26E-07 1.21E-03 1.50E-02 3.86E-02 4.345E-01
8.700E-05 1.17E-01 1.04E-01 2.44E-04 1.34E-01 1.99E-02 4.71E-07 1.46E-02 7.60E-07 1.25E-03 1.52E-02 3.86E-02 4.445E-01
8.600E-05 1.19E-01 1.06E-01 2.51E-04 1.39E-01 2.02E-02 4.92E-07 1.48E-02 7.96E-07 1.28E-03 1.53E-02 3.86E-02 4.548E-01
8.500E-05 1.21E-01 1.09E-01 2.53E-04 1.44E-01 2.06E-02 5.15E-07 1.50E-02 8.34E-07 1.32E-03 1.54E-02 3.85E-02 4.654E-01
8.400E-05 1.23E-01 1.12E-01 2.59E-04 1.50E-01 2.10E-02 5.39E-07 1.51E-02 8.75E-07 1.36E-03 1.55E-02 3.85E-02 4.765E-01
8.330E-05 1.24E-01 1.14E-01 2.62E-04 1.54E-01 2.13E-02 5.57E-07 1.53E-02 9.05E-07 1.39E-03 1.56E-02 3.84E-02 4.844E-01
8.200E-05 1.27E-01 1.18E-01 2.69E-04 1.62E-01 2.18E-02 5.92E-07 1.55E-02 9.63E-07 1.45E-03 1.57E-02 3.83E-02 4.998E-01
8.100E-05 1.29E-01 1.22E-01 2.74E-04 1.68E-01 2.22E-02 6.21E-07 1.57E-02 1.01E-06 1.49E-03 1.59E-02 3.82E-02 5.120E-01
8.000E-05 1.31E-01 1.25E-01 2.80E-04 1.75E-01 2.26E-02 6.51E-07 1.58E-02 1.06E-06 1.54E-03 1.60E-02 3.80E-02 5.247E-01
7.900E-05 1.33E-01 1.28E-01 2.84E-04 1.82E-01 2.31E-02 6.84E-07 1.60E-02 1.12E-06 1.59E-03 1.62E-02 3.79E-02 5.379E-01
7.800E-05 1.36E-01 1.31E-01 2.92E-04 1.89E-01 2.36E-02 7.19E-07 1.62E-02 1.18E-06 1.64E-03 1.63E-02 3.77E-02 5.515E-01
7.700E-05 1.38E-01 1.35E-01 2.93E-04 1.96E-01 2.40E-02 7.55E-07 1.64E-02 1.24E-06 1.69E-03 1.65E-02 3.74E-02 5.655E-01
7.600E-05 1.41E-01 1.38E-01 3.07E-04 2.04E-01 2.45E-02 7.94E-07 1.66E-02 1.31E-06 1.74E-03 1.66E-02 3.72E-02 5.800E-01
7.500E-05 1.44E-01 1.42E-01 3.17E-04 2.12E-01 2.50E-02 8.36E-07 1.68E-02 1.38E-06 1.80E-03 1.68E-02 3.69E-02 5.949E-01
7.400E-05 1.47E-01 1.45E-01 3.33E-04 2.20E-01 2.55E-02 8.81E-07 1.70E-02 1.45E-06 1.86E-03 1.70E-02 3.67E-02 6.102E-01
7.300E-05 1.50E-01 1.49E-01 3.42E-04 2.28E-01 2.61E-02 9.28E-07 1.73E-02 1.54E-06 1.92E-03 1.71E-02 3.64E-02 6.259E-01
7.140E-05 1.55E-01 1.54E-01 3.56E-04 2.42E-01 2.70E-02 1.01E-06 1.76E-02 1.68E-06 2.03E-03 1.74E-02 3.59E-02 6.520E-01
7.100E-05 1.57E-01 1.56E-01 3.58E-04 2.46E-01 2.72E-02 1.03E-06 1.77E-02 1.72E-06 2.06E-03 1.75E-02 3.57E-02 6.587E-01
7.000E-05 1.60E-01 1.59E-01 3.68E-04 2.55E-01 2.78E-02 1.09E-06 1.80E-02 1.82E-06 2.13E-03 1.76E-02 3.54E-02 6.758E-01
6.900E-05 1.64E-01 1.63E-01 3.77E-04 2.65E-01 2.84E-02 1.15E-06 1.82E-02 1.93E-06 2.20E-03 1.78E-02 3.50E-02 6.935E-01
6.800E-05 1.67E-01 1.67E-01 3.95E-04 2.75E-01 2.90E-02 1.22E-06 1.85E-02 2.04E-06 2.28E-03 1.80E-02 3.46E-02 7.117E-01
6.700E-05 1.71E-01 1.70E-01 4.12E-04 2.86E-01 2.96E-02 1.29E-06 1.87E-02 2.17E-06 2.37E-03 1.82E-02 3.42E-02 7.305E-01
6.600E-05 1.75E-01 1.74E-01 4.28E-04 2.97E-01 3.03E-02 1.37E-06 1.90E-02 2.30E-06 2.45E-03 1.83E-02 3.38E-02 7.498E-01
6.500E-05 1.79E-01 1.78E-01 4.38E-04 3.08E-01 3.10E-02 1.46E-06 1.93E-02 2.45E-06 2.54E-03 1.85E-02 3.34E-02 7.700E-01
6.400E-05 1.83E-01 1.81E-01 4.49E-04 3.20E-01 3.17E-02 1.55E-06 1.95E-02 2.61E-06 2.64E-03 1.87E-02 3.29E-02 7.908E-01
6.300E-05 1.87E-01 1.85E-01 4.62E-04 3.33E-01 3.25E-02 1.65E-06 1.98E-02 2.78E-06 2.74E-03 1.88E-02 3.24E-02 8.124E-01
6.250E-05 1.90E-01 1.87E-01 4.71E-04 3.40E-01 3.29E-02 1.70E-06 2.00E-02 2.87E-06 2.79E-03 1.89E-02 3.22E-02 8.235E-01
6.200E-05 1.92E-01 1.89E-01 4.81E-04 3.46E-01 3.33E-02 1.75E-06 2.01E-02 2.96E-06 2.85E-03 1.90E-02 3.20E-02 8.348E-01
6.100E-05 1.97E-01 1.92E-01 5.03E-04 3.60E-01 3.41E-02 1.87E-06 2.05E-02 3.16E-06 2.96E-03 1.92E-02 3.14E-02 8.579E-01
6.000E-05 2.02E-01 1.96E-01 5.29E-04 3.74E-01 3.49E-02 1.99E-06 2.08E-02 3.38E-06 3.08E-03 1.94E-02 3.09E-02 8.819E-01
5.900E-05 2.07E-01 1.99E-01 5.52E-04 3.90E-01 3.58E-02 2.13E-06 2.11E-02 3.62E-06 3.21E-03 1.95E-02 3.04E-02 9.066E-01
5.800E-05 2.13E-01 2.02E-01 5.80E-04 4.05E-01 3.67E-02 2.28E-06 2.15E-02 3.88E-06 3.34E-03 1.97E-02 2.98E-02 9.322E-01
5.700E-05 2.19E-01 2.05E-01 6.06E-04 4.21E-01 3.76E-02 2.44E-06 2.18E-02 4.16E-06 3.49E-03 1.99E-02 2.93E-02 9.584E-01
5.600E-05 2.25E-01 2.08E-01 6.33E-04 4.38E-01 3.86E-02 2.61E-06 2.22E-02 4.47E-06 3.64E-03 2.01E-02 2.87E-02 9.854E-01
5.500E-05 2.31E-01 2.11E-01 6.59E-04 4.56E-01 3.95E-02 2.81E-06 2.26E-02 4.80E-06 3.80E-03 2.03E-02 2.82E-02 1.013E+00
5.477E-05 2.33E-01 2.11E-01 6.65E-04 4.60E-01 3.98E-02 2.85E-06 2.27E-02 4.89E-06 5.48E-03 2.03E-02 2.81E-02 1.021E+00
5.400E-05 2.38E-01 2.13E-01 6.88E-04 4.74E-01 4.07E-02 3.02E-06 2.30E-02 5.18E-06 5.70E-03 2.04E-02 2.76E-02 1.044E+00
