 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   4.217E-09   6.031E-09   4.747E-09   7.576E-07
   9.000E-01   4.940E-09   7.120E-09   5.524E-09   8.928E-07
   8.000E-01   5.901E-09   8.577E-09   6.547E-09   1.074E-06
   7.000E-01   7.227E-09   1.060E-08   7.942E-09   1.321E-06
   6.000E-01   9.148E-09   1.354E-08   9.940E-09   1.683E-06
   5.500E-01   1.046E-08   1.555E-08   1.129E-08   1.931E-06
   5.000E-01   1.212E-08   1.811E-08   1.298E-08   2.241E-06
   4.500E-01   1.427E-08   2.144E-08   1.516E-08   2.650E-06
   4.000E-01   1.715E-08   2.590E-08   1.804E-08   3.190E-06
   3.500E-01   2.117E-08   3.212E-08   2.201E-08   3.952E-06
   3.000E-01   2.703E-08   4.120E-08   2.772E-08   5.044E-06
   2.500E-01   3.621E-08   5.536E-08   3.650E-08   6.756E-06
   2.098E-01   4.811E-08   7.359E-08   4.767E-08   8.960E-06
   1.500E-01   8.367E-08   1.274E-07   8.001E-08   1.545E-05
   1.382E-01   9.597E-08   1.456E-07   9.096E-08   1.768E-05
   1.320E-01   1.037E-07   1.570E-07   9.776E-08   1.907E-05
   1.150E-01   1.310E-07   1.970E-07   1.216E-07   2.393E-05
   1.000E-01   1.666E-07   2.478E-07   1.520E-07   3.012E-05
   9.970E-02   1.675E-07   2.490E-07   1.528E-07   3.028E-05
   8.670E-02   2.109E-07   3.142E-07   1.897E-07   3.810E-05
   8.500E-02   2.184E-07   3.247E-07   1.962E-07   3.939E-05
   7.500E-02   2.771E-07   3.994E-07   2.451E-07   4.881E-05
   6.000E-02   4.077E-07   5.771E-07   3.471E-07   7.070E-05
   5.500E-02   4.723E-07   6.471E-07   4.001E-07   8.075E-05
   5.000E-02   5.621E-07   8.032E-07   4.737E-07   9.772E-05
   4.500E-02   6.926E-07   1.066E-06   5.774E-07   1.240E-04
   4.000E-02   8.897E-07   1.427E-06   7.236E-07   1.612E-04
   3.500E-02   1.115E-06   2.175E-06   8.861E-07   2.242E-04
   3.000E-02   1.574E-06   3.397E-06   1.208E-06   3.322E-04
   2.750E-02   1.879E-06   4.274E-06   1.403E-06   4.090E-04
   2.500E-02   2.263E-06   5.441E-06   1.669E-06   5.112E-04
   2.400E-02   2.485E-06   6.021E-06   1.789E-06   5.623E-04
   2.000E-02   3.637E-06   9.326E-06   2.490E-06   8.501E-04
   1.800E-02   4.531E-06   1.152E-05   3.038E-06   1.056E-03
   1.600E-02   6.025E-06   1.423E-05   3.793E-06   1.336E-03
   1.500E-02   7.186E-06   1.590E-05   4.279E-06   1.520E-03
   1.400E-02   8.175E-06   1.776E-05   4.730E-06   1.718E-03
   1.200E-02   1.250E-05   2.239E-05   6.262E-06   2.308E-03
   1.000E-02   1.900E-05   2.910E-05   8.380E-06   3.210E-03
   9.000E-03   2.533E-05   3.288E-05   1.007E-05   3.876E-03
   8.000E-03   3.363E-05   3.798E-05   1.168E-05   4.761E-03
   7.500E-03   3.937E-05   4.194E-05   1.311E-05   5.390E-03
   7.000E-03   4.759E-05   4.687E-05   1.454E-05   6.221E-03
   6.000E-03   6.838E-05   5.969E-05   1.823E-05   8.433E-03
   5.000E-03   9.723E-05   8.376E-05   2.338E-05   1.220E-02
   4.500E-03   1.192E-04   1.011E-04   2.712E-05   1.516E-02
   4.000E-03   1.405E-04   1.219E-04   3.151E-05   1.903E-02
   3.500E-03   1.677E-04   1.441E-04   3.762E-05   2.400E-02
   3.000E-03   2.018E-04   1.639E-04   4.615E-05   3.065E-02
   2.750E-03   2.169E-04   1.704E-04   5.134E-05   3.446E-02
   2.500E-03   2.280E-04   1.749E-04   5.729E-05   3.886E-02
   2.400E-03   2.342E-04   1.761E-04   6.000E-05   4.088E-02
   2.350E-03   2.379E-04   1.769E-04   6.150E-05   4.206E-02
   2.320E-03   2.397E-04   1.774E-04   6.233E-05   4.277E-02
   2.310E-03   2.403E-04   1.777E-04   6.260E-05   4.302E-02
   2.300E-03   2.410E-04   1.777E-04   6.288E-05   4.326E-02
   2.250E-03   2.433E-04   1.788E-04   6.443E-05   4.457E-02
   2.200E-03   2.455E-04   1.799E-04   6.595E-05   4.603E-02
   2.150E-03   2.488E-04   1.806E-04   6.738E-05   4.756E-02
   2.120E-03   2.508E-04   1.803E-04   6.829E-05   4.854E-02
   2.110E-03   2.512E-04   1.802E-04   6.857E-05   4.887E-02
   2.100E-03   2.515E-04   1.800E-04   6.883E-05   4.920E-02
   2.080E-03   2.517E-04   1.792E-04   6.924E-05   4.980E-02
   2.000E-03   2.524E-04   1.752E-04   7.126E-05   5.232E-02
   1.950E-03   2.546E-04   1.700E-04   7.188E-05   5.394E-02
   1.900E-03   2.583E-04   1.627E-04   7.192E-05   5.524E-02
   1.850E-03   2.620E-04   1.529E-04   7.090E-05   5.595E-02
   1.830E-03   2.638E-04   1.483E-04   7.023E-05   5.609E-02
   1.820E-03   2.641E-04   1.458E-04   6.979E-05   5.608E-02
   1.810E-03   2.646E-04   1.433E-04   6.935E-05   5.600E-02
   1.800E-03   2.654E-04   1.407E-04   6.893E-05   5.592E-02
   1.750E-03   2.692E-04   1.260E-04   6.641E-05   5.499E-02
   1.700E-03   2.702E-04   1.099E-04   6.337E-05   5.289E-02
   1.670E-03   2.733E-04   1.000E-04   6.190E-05   5.133E-02
   1.650E-03   2.763E-04   9.354E-05   6.096E-05   5.014E-02
   1.640E-03   2.773E-04   9.036E-05   6.042E-05   4.950E-02
   1.630E-03   2.784E-04   8.719E-05   5.990E-05   4.883E-02
   1.610E-03   2.799E-04   8.105E-05   5.895E-05   4.740E-02
   1.600E-03   2.809E-04   7.807E-05   5.852E-05   4.665E-02
   1.590E-03   2.819E-04   7.521E-05   5.808E-05   4.591E-02
   1.580E-03   2.827E-04   7.252E-05   5.768E-05   4.517E-02
   1.570E-03   2.829E-04   6.996E-05   5.724E-05   4.439E-02
   1.560E-03   2.842E-04   6.771E-05   5.694E-05   4.369E-02
   1.540E-03   2.871E-04   6.402E-05   5.637E-05   4.248E-02
   1.520E-03   2.877E-04   6.164E-05   5.571E-05   4.138E-02
   1.510E-03   2.880E-04   6.100E-05   5.539E-05   4.093E-02
   1.500E-03   2.878E-04   6.065E-05   5.510E-05   4.052E-02
   1.450E-03   2.900E-04   6.221E-05   5.473E-05   3.932E-02
   1.440E-03   2.908E-04   6.291E-05   5.481E-05   3.925E-02
   1.430E-03   2.916E-04   6.349E-05   5.520E-05   3.927E-02
   1.420E-03   2.922E-04   6.405E-05   5.558E-05   3.930E-02
   1.400E-03   2.942E-04   6.535E-05   5.689E-05   3.960E-02
   1.380E-03   2.960E-04   6.656E-05   5.871E-05   4.017E-02
   1.370E-03   2.967E-04   6.724E-05   5.996E-05   4.061E-02
   1.360E-03   2.979E-04   6.792E-05   6.137E-05   4.113E-02
   1.350E-03   2.994E-04   6.878E-05   6.283E-05   4.169E-02
