 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   6.107E-05   6.796E-05   3.686E-04   5.464E-02
   1.500E-03   6.102E-05   6.757E-05   3.676E-04   5.407E-02
   1.450E-03   6.150E-05   6.931E-05   3.705E-04   5.239E-02
   1.440E-03   6.169E-05   7.010E-05   3.723E-04   5.227E-02
   1.430E-03   6.185E-05   7.075E-05   3.762E-04   5.234E-02
   1.420E-03   6.199E-05   7.137E-05   3.802E-04   5.240E-02
   1.400E-03   6.243E-05   7.282E-05   3.918E-04   5.296E-02
   1.380E-03   6.280E-05   7.417E-05   4.069E-04   5.393E-02
   1.370E-03   6.296E-05   7.494E-05   4.167E-04   5.472E-02
   1.360E-03   6.322E-05   7.569E-05   4.277E-04   5.562E-02
   1.350E-03   6.354E-05   7.666E-05   4.389E-04   5.657E-02
   1.340E-03   6.384E-05   7.760E-05   4.505E-04   5.767E-02
   1.330E-03   6.403E-05   7.880E-05   4.620E-04   5.883E-02
   1.320E-03   6.431E-05   8.004E-05   4.741E-04   6.003E-02
   1.310E-03   6.438E-05   8.150E-05   4.859E-04   6.131E-02
   1.290E-03   6.427E-05   8.502E-05   5.101E-04   6.399E-02
   1.280E-03   6.426E-05   8.689E-05   5.238E-04   6.560E-02
   1.270E-03   6.443E-05   8.842E-05   5.383E-04   6.719E-02
   1.260E-03   6.457E-05   9.071E-05   5.524E-04   6.882E-02
   1.250E-03   6.461E-05   9.375E-05   5.658E-04   7.052E-02
   1.220E-03   6.567E-05   1.121E-04   6.101E-04   7.703E-02
   1.210E-03   6.576E-05   1.242E-04   6.243E-04   8.006E-02
   1.200E-03   6.579E-05   1.387E-04   6.389E-04   8.347E-02
   1.190E-03   6.627E-05   1.538E-04   6.548E-04   8.718E-02
   1.180E-03   6.655E-05   1.682E-04   6.673E-04   9.087E-02
   1.170E-03   6.676E-05   1.808E-04   6.797E-04   9.453E-02
   1.160E-03   6.704E-05   1.912E-04   6.904E-04   9.792E-02
   1.150E-03   6.705E-05   1.995E-04   6.998E-04   1.014E-01
   1.140E-03   6.698E-05   2.063E-04   7.099E-04   1.045E-01
   1.130E-03   6.700E-05   2.118E-04   7.205E-04   1.077E-01
   1.120E-03   6.703E-05   2.166E-04   7.299E-04   1.108E-01
   1.110E-03   6.701E-05   2.211E-04   7.385E-04   1.139E-01
   1.090E-03   6.719E-05   2.290E-04   7.526E-04   1.202E-01
   1.050E-03   6.820E-05   2.382E-04   7.670E-04   1.354E-01
   1.000E-03   6.994E-05   2.356E-04   6.957E-04   1.483E-01
   9.800E-04   7.075E-05   2.265E-04   6.637E-04   1.526E-01
   9.600E-04   7.142E-05   2.114E-04   6.164E-04   1.557E-01
   9.500E-04   7.205E-05   2.020E-04   5.831E-04   1.560E-01
   9.400E-04   7.211E-05   1.919E-04   5.438E-04   1.548E-01
   9.200E-04   7.258E-05   1.719E-04   4.603E-04   1.472E-01
   8.900E-04   7.375E-05   1.416E-04   3.668E-04   1.277E-01
   8.700E-04   7.357E-05   1.245E-04   3.320E-04   1.147E-01
   8.600E-04   7.410E-05   1.170E-04   3.215E-04   1.094E-01
   8.500E-04   7.413E-05   1.093E-04   3.108E-04   1.043E-01
   8.400E-04   7.473E-05   1.010E-04   3.000E-04   9.911E-02
   8.200E-04   7.451E-05   8.409E-05   2.743E-04   8.624E-02
   8.000E-04   7.495E-05   6.998E-05   2.572E-04   7.312E-02
   7.900E-04   7.546E-05   6.488E-05   2.582E-04   6.880E-02
   7.800E-04   7.529E-05   6.075E-05   2.571E-04   6.459E-02
   7.700E-04   7.508E-05   5.718E-05   2.590E-04   6.135E-02
   7.600E-04   7.493E-05   5.406E-05   2.637E-04   5.909E-02
   7.500E-04   7.476E-05   5.125E-05   2.690E-04   5.712E-02
   7.300E-04   7.528E-05   4.697E-05   2.877E-04   5.591E-02
   7.200E-04   7.511E-05   4.578E-05   2.957E-04   5.589E-02
   7.100E-04   7.502E-05   4.513E-05   3.051E-04   5.607E-02
   7.000E-04   7.556E-05   4.437E-05   3.152E-04   5.669E-02
   6.900E-04   7.523E-05   4.300E-05   3.224E-04   5.694E-02
   6.800E-04   7.377E-05   4.110E-05   3.281E-04   5.669E-02
   6.600E-04   7.453E-05   3.772E-05   3.508E-04   5.773E-02
   6.400E-04   7.676E-05   3.331E-05   3.752E-04   5.935E-02
   6.300E-04   7.797E-05   3.147E-05   3.855E-04   6.032E-02
   6.200E-04   7.790E-05   3.129E-05   3.934E-04   6.116E-02
   6.100E-04   7.846E-05   3.133E-05   4.034E-04   6.225E-02
   5.900E-04   8.100E-05   2.617E-05   4.256E-04   6.429E-02
   5.500E-04   7.593E-05   2.041E-05   4.507E-04   6.601E-02
   5.300E-04   7.686E-05   1.872E-05   4.775E-04   6.899E-02
   5.200E-04   7.695E-05   1.786E-05   4.900E-04   7.049E-02
   5.100E-04   7.777E-05   1.699E-05   5.046E-04   7.240E-02
   5.000E-04   7.858E-05   1.615E-05   5.185E-04   7.435E-02
   4.800E-04   7.946E-05   1.490E-05   5.451E-04   7.840E-02
   4.500E-04   8.169E-05   1.354E-05   5.849E-04   8.573E-02
   4.000E-04   8.513E-05   1.242E-05   6.603E-04   1.006E-01
   3.800E-04   8.739E-05   1.249E-05   6.952E-04   1.080E-01
   3.600E-04   9.005E-05   1.298E-05   7.316E-04   1.162E-01
   3.400E-04   9.459E-05   1.403E-05   7.637E-04   1.257E-01
   3.300E-04   9.455E-05   1.482E-05   7.772E-04   1.301E-01
   3.200E-04   9.580E-05   1.580E-05   7.955E-04   1.353E-01
   3.150E-04   9.714E-05   1.641E-05   8.050E-04   1.382E-01
   3.100E-04   9.845E-05   1.708E-05   8.138E-04   1.411E-01
   3.080E-04   9.887E-05   1.736E-05   8.171E-04   1.422E-01
   3.050E-04   9.943E-05   1.782E-05   8.223E-04   1.439E-01
   3.000E-04   1.005E-04   1.866E-05   8.317E-04   1.470E-01
   2.900E-04   1.035E-04   2.064E-05   8.499E-04   1.532E-01
   2.800E-04   1.053E-04   2.310E-05   8.678E-04   1.596E-01
   2.600E-04   1.119E-04   2.995E-05   9.049E-04   1.741E-01
   2.500E-04   1.168E-04   3.471E-05   9.228E-04   1.821E-01
   2.200E-04   1.378E-04   5.795E-05   9.728E-04   2.088E-01
   2.159E-04   1.409E-04   6.267E-05   9.776E-04   2.127E-01
   2.000E-04   1.586E-04   8.661E-05   9.967E-04   2.291E-01
   1.662E-04   2.159E-04   1.919E-04   1.010E-03   2.700E-01
   1.650E-04   2.186E-04   1.979E-04   1.009E-03   2.717E-01
   1.250E-04   3.657E-04   6.098E-04   9.289E-04   3.527E-01
   1.235E-04   3.733E-04   6.373E-04   9.226E-04   3.573E-01
   1.130E-04   4.290E-04   8.669E-04   8.699E-04   3.950E-01
   1.000E-04   4.982E-04   1.260E-03   7.783E-04   4.614E-01
   9.500E-05   5.183E-04   1.454E-03   7.342E-04   4.953E-01
   9.300E-05   5.248E-04   1.539E-03   7.157E-04   5.106E-01
   9.200E-05   5.277E-04   1.584E-03   7.062E-04   5.186E-01
   9.100E-05   5.304E-04   1.629E-03   6.966E-04   5.269E-01
   9.000E-05   5.330E-04   1.676E-03   6.871E-04   5.356E-01
   8.900E-05   5.354E-04   1.724E-03   6.776E-04   5.445E-01
   8.800E-05   5.378E-04   1.774E-03   6.682E-04   5.538E-01
   8.700E-05   5.401E-04   1.824E-03   6.588E-04   5.635E-01
   8.600E-05   5.424E-04   1.874E-03   6.494E-04   5.735E-01
   8.500E-05   5.447E-04   1.926E-03   6.401E-04   5.839E-01
   8.400E-05   5.470E-04   1.979E-03   6.306E-04   5.946E-01
   8.330E-05   5.486E-04   2.016E-03   6.240E-04   6.024E-01
   8.200E-05   5.514E-04   2.085E-03   6.116E-04   6.174E-01
   8.100E-05   5.535E-04   2.139E-03   6.020E-04   6.293E-01
   8.000E-05   5.553E-04   2.193E-03   5.921E-04   6.417E-01
   7.900E-05   5.569E-04   2.249E-03   5.820E-04   6.545E-01
   7.800E-05   5.580E-04   2.304E-03   5.716E-04   6.677E-01
   7.700E-05   5.588E-04   2.361E-03   5.608E-04   6.813E-01
   7.600E-05   5.589E-04   2.420E-03   5.495E-04   6.954E-01
   7.500E-05   5.584E-04   2.480E-03   5.377E-04   7.098E-01
   7.400E-05   5.572E-04   2.542E-03   5.257E-04   7.246E-01
   7.300E-05   5.554E-04   2.606E-03   5.133E-04   7.398E-01
   7.140E-05   5.509E-04   2.715E-03   4.926E-04   7.651E-01
   7.100E-05   5.495E-04   2.743E-03   4.874E-04   7.716E-01
   7.000E-05   5.456E-04   2.815E-03   4.744E-04   7.882E-01
   6.900E-05   5.412E-04   2.889E-03   4.613E-04   8.054E-01
   6.800E-05   5.362E-04   2.965E-03   4.485E-04   8.232E-01
   6.700E-05   5.307E-04   3.042E-03   4.361E-04   8.417E-01
   6.600E-05   5.248E-04   3.119E-03   4.239E-04   8.608E-01
   6.500E-05   5.183E-04   3.194E-03   4.121E-04   8.807E-01
   6.400E-05   5.113E-04   3.267E-03   4.007E-04   9.014E-01
   6.300E-05   5.037E-04   3.337E-03   3.893E-04   9.229E-01
   6.250E-05   4.997E-04   3.371E-03   3.836E-04   9.340E-01
   6.200E-05   4.956E-04   3.405E-03   3.779E-04   9.453E-01
   6.100E-05   4.869E-04   3.472E-03   3.663E-04   9.685E-01
   6.000E-05   4.775E-04   3.538E-03   3.542E-04   9.926E-01
   5.900E-05   4.676E-04   3.609E-03   3.417E-04   1.018E+00
   5.800E-05   4.571E-04   3.684E-03   3.287E-04   1.043E+00
   5.700E-05   4.462E-04   3.767E-03   3.154E-04   1.070E+00
   5.600E-05   4.350E-04   3.857E-03   3.019E-04   1.098E+00
   5.500E-05   4.234E-04   3.954E-03   2.886E-04   1.126E+00
   5.477E-05   4.207E-04   3.977E-03   2.856E-04   1.134E+00
   5.400E-05   4.117E-04   4.056E-03   2.756E-04   1.156E+00
   5.300E-05   3.996E-04   4.160E-03   2.631E-04   1.187E+00
   5.200E-05   3.872E-04   4.261E-03   2.513E-04   1.218E+00
   5.100E-05   3.743E-04   4.354E-03   2.400E-04   1.251E+00
   5.000E-05   3.608E-04   4.439E-03   2.292E-04   1.284E+00
   4.900E-05   3.468E-04   4.515E-03   2.187E-04   1.319E+00
   4.880E-05   3.439E-04   4.529E-03   2.166E-04   1.326E+00
   4.800E-05   3.321E-04   4.586E-03   2.083E-04   1.355E+00
   4.760E-05   3.261E-04   4.614E-03   2.041E-04   1.370E+00
   4.700E-05   3.170E-04   4.656E-03   1.978E-04   1.392E+00
   4.650E-05   3.092E-04   4.690E-03   1.926E-04   1.411E+00
   4.600E-05   3.015E-04   4.727E-03   1.875E-04   1.430E+00
   4.550E-05   2.935E-04   4.766E-03   1.821E-04   1.450E+00
   4.500E-05   2.856E-04   4.808E-03   1.770E-04   1.469E+00
   4.440E-05   2.760E-04   4.864E-03   1.710E-04   1.493E+00
   4.350E-05   2.615E-04   4.957E-03   1.625E-04   1.530E+00
   4.170E-05   2.327E-04   5.125E-03   1.470E-04   1.608E+00
   4.000E-05   2.060E-04   5.217E-03   1.335E-04   1.684E+00
   3.850E-05   1.835E-04   5.286E-03   1.216E-04   1.752E+00
   3.656E-05   1.561E-04   5.387E-03   1.078E-04   1.839E+00
   3.570E-05   1.444E-04   5.411E-03   1.011E-04   1.879E+00
   3.330E-05   1.130E-04   5.429E-03   8.574E-05   1.990E+00
   3.130E-05   8.752E-05   5.372E-03   7.441E-05   2.084E+00
   3.000E-05   7.159E-05   5.288E-03   6.647E-05   2.150E+00
   2.940E-05   6.455E-05   5.365E-03   6.341E-05   2.181E+00
   2.780E-05   4.616E-05   5.274E-03   5.626E-05   2.274E+00
   2.630E-05   3.159E-05   5.059E-03   4.914E-05   2.400E+00
   2.500E-05   2.230E-05   4.975E-03   4.453E-05   2.577E+00
   2.380E-05   1.603E-05   4.814E-03   3.979E-05   2.886E+00
   2.270E-05   1.264E-05   4.524E-03   3.636E-05   3.260E+00
   2.170E-05   1.169E-05   4.271E-03   3.400E-05   3.490E+00
   2.080E-05   1.239E-05   4.141E-03   3.018E-05   3.477E+00
   2.000E-05   1.378E-05   3.545E-03   2.855E-05   3.328E+00
   1.920E-05   1.452E-05   2.873E-03   2.542E-05   3.142E+00
   1.850E-05   1.578E-05   2.528E-03   2.239E-05   3.033E+00
   1.790E-05   1.836E-05   2.162E-03   2.064E-05   2.980E+00
   1.720E-05   2.098E-05   1.909E-03   1.701E-05   2.978E+00
   1.670E-05   2.286E-05   1.767E-03   1.353E-05   3.004E+00
   1.610E-05   2.569E-05   1.555E-03   1.037E-05   3.089E+00
   1.560E-05   2.834E-05   1.340E-03   6.215E-06   3.205E+00
   1.520E-05   3.058E-05   1.145E-03   4.169E-06   3.339E+00
   1.470E-05   3.363E-05   8.869E-04   7.354E-06   3.531E+00
   1.430E-05   3.624E-05   6.776E-04   1.250E-05   3.703E+00
   1.390E-05   3.868E-05   5.272E-04   1.559E-05   3.837E+00
   1.350E-05   4.065E-05   4.082E-04   1.646E-05   3.967E+00
   1.320E-05   4.189E-05   3.448E-04   1.833E-05   4.070E+00
   1.280E-05   4.351E-05   2.938E-04   2.022E-05   4.227E+00
   1.250E-05   4.489E-05   2.776E-04   2.023E-05   4.363E+00
   1.220E-05   4.635E-05   2.615E-04   2.128E-05   4.525E+00
   1.190E-05   4.777E-05   2.502E-04   2.140E-05   4.725E+00
   1.160E-05   4.900E-05   2.466E-04   2.268E-05   4.947E+00
   1.140E-05   4.970E-05   2.547E-04   2.439E-05   5.112E+00
   1.110E-05   5.053E-05   2.842E-04   2.249E-05   5.384E+00
   1.080E-05   5.110E-05   3.406E-04   2.220E-05   5.781E+00
   1.050E-05   5.140E-05   4.259E-04   2.356E-05   6.280E+00
   1.030E-05   5.146E-05   4.885E-04   2.227E-05   6.716E+00
   1.000E-05   5.129E-05   5.795E-04   2.344E-05   7.344E+00
   9.750E-06   5.097E-05   6.581E-04   2.069E-05   7.919E+00
   9.500E-06   5.047E-05   7.338E-04   2.174E-05   8.548E+00
   9.250E-06   4.978E-05   8.080E-04   1.839E-05   9.118E+00
   9.080E-06   4.922E-05   8.563E-04   1.858E-05   9.443E+00
