 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  6.82E-14  4.74E-28  4.74E-28  2.45E-35  2.56E-33
  1.67E+01  6.28E-14  2.20E-28  2.20E-28  7.73E-36  9.07E-34
  1.65E+01  5.91E-14  1.30E-28  1.30E-28  3.50E-36  4.45E-34
  1.64E+01  5.73E-14  9.95E-29  9.95E-29  2.33E-36  3.09E-34
  1.63E+01  5.55E-14  7.57E-29  7.57E-29  1.55E-36  2.14E-34
  1.61E+01  5.20E-14  4.34E-29  4.34E-29  6.70E-37  1.01E-34
  1.60E+01  5.03E-14  3.27E-29  3.27E-29  4.37E-37  6.94E-35
  1.59E+01  4.86E-14  2.45E-29  2.45E-29  2.84E-37  4.72E-35
  1.58E+01  4.71E-14  1.83E-29  1.83E-29  1.84E-37  3.20E-35
  1.57E+01  4.55E-14  1.36E-29  1.36E-29  1.18E-37  2.15E-35
  1.56E+01  4.40E-14  1.01E-29  1.01E-29  7.60E-38  1.45E-35
  1.54E+01  4.13E-14  5.50E-30  5.50E-30  3.12E-38  6.43E-36
  1.52E+01  3.88E-14  2.93E-30  2.93E-30  1.27E-38  2.79E-36
  1.51E+01  3.77E-14  2.12E-30  2.12E-30  8.14E-39  1.83E-36
  1.50E+01  3.65E-14  1.53E-30  1.53E-30  5.19E-39  1.19E-36
  1.45E+01  3.20E-14  2.79E-31  2.79E-31  5.29E-40  1.29E-37
  1.44E+01  3.14E-14  1.96E-31  1.96E-31  3.30E-40  8.12E-38
  1.43E+01  3.09E-14  1.37E-31  1.37E-31  2.05E-40  5.12E-38
  1.42E+01  3.04E-14  9.52E-32  9.52E-32  1.26E-40  3.21E-38
  1.40E+01  2.97E-14  4.53E-32  4.53E-32  0.00E+00  1.24E-38
  1.38E+01  2.98E-14  2.11E-32  2.11E-32  0.00E+00  4.72E-39
  1.37E+01  3.05E-14  1.43E-32  1.43E-32  0.00E+00  2.89E-39
  1.36E+01  3.11E-14  9.60E-33  9.60E-33  0.00E+00  1.76E-39
  1.35E+01  3.14E-14  6.43E-33  6.43E-33  0.00E+00  1.07E-39
  1.34E+01  3.19E-14  4.28E-33  4.28E-33  0.00E+00  6.41E-40
  1.33E+01  3.29E-14  2.82E-33  2.82E-33  0.00E+00  3.82E-40
  1.32E+01  3.45E-14  1.85E-33  1.85E-33  0.00E+00  2.25E-40
  1.31E+01  3.72E-14  1.20E-33  1.20E-33  0.00E+00  1.32E-40
  1.29E+01  4.89E-14  4.97E-34  4.97E-34  0.00E+00  0.00E+00
  1.28E+01  5.96E-14  3.16E-34  3.16E-34  0.00E+00  0.00E+00
  1.27E+01  6.66E-14  2.00E-34  2.00E-34  0.00E+00  0.00E+00
  1.26E+01  6.13E-14  1.26E-34  1.26E-34  0.00E+00  0.00E+00
  1.25E+01  5.25E-14  7.82E-35  7.82E-35  0.00E+00  0.00E+00
  1.22E+01  4.74E-14  1.82E-35  1.82E-35  0.00E+00  0.00E+00
  1.21E+01  5.06E-14  1.10E-35  1.10E-35  0.00E+00  0.00E+00
  1.20E+01  5.32E-14  6.57E-36  6.57E-36  0.00E+00  0.00E+00
  1.19E+01  5.35E-14  3.91E-36  3.91E-36  0.00E+00  0.00E+00
  1.18E+01  5.36E-14  2.31E-36  2.31E-36  0.00E+00  0.00E+00
  1.17E+01  5.66E-14  1.34E-36  1.34E-36  0.00E+00  0.00E+00
  1.16E+01  6.46E-14  7.77E-37  7.77E-37  0.00E+00  0.00E+00
  1.15E+01  8.36E-14  4.43E-37  4.43E-37  0.00E+00  0.00E+00
  1.14E+01  1.07E-13  2.49E-37  2.49E-37  0.00E+00  0.00E+00
  1.13E+01  1.24E-13  1.39E-37  1.39E-37  0.00E+00  0.00E+00
  1.12E+01  1.06E-13  7.70E-38  7.70E-38  0.00E+00  0.00E+00
  1.11E+01  7.88E-14  4.21E-38  4.21E-38  0.00E+00  0.00E+00
