 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  6.00E+01  6.30E-13  4.64E-14  3.83E-15  5.66E-16  2.50E-15  1.99E-13  3.78E-13  1.79E-16  5.31E-17
  5.00E+01  6.11E-13  8.70E-15  4.20E-16  8.51E-17  1.69E-16  2.48E-13  3.53E-13  2.04E-16  3.57E-17
  4.50E+01  6.11E-13  2.66E-15  9.09E-17  2.30E-17  2.66E-17  2.83E-13  3.25E-13  2.17E-16  2.89E-17
  4.00E+01  6.05E-13  5.36E-16  1.28E-17  4.01E-18  2.49E-18  3.19E-13  2.85E-13  2.31E-16  2.31E-17
  3.50E+01  5.56E-13  6.27E-17  9.18E-19  3.95E-19  1.12E-19  3.23E-13  2.32E-13  2.50E-16  1.82E-17
  3.00E+01  4.07E-13  3.25E-18  2.44E-20  1.61E-20  1.68E-21  2.32E-13  1.76E-13  2.88E-16  1.45E-17
  2.75E+01  3.08E-13  4.62E-19  2.27E-21  1.95E-21  1.11E-22  1.59E-13  1.49E-13  3.35E-16  1.29E-17
  2.50E+01  2.22E-13  4.20E-20  1.26E-22  1.45E-22  4.14E-24  9.74E-14  1.24E-13  4.77E-16  1.14E-17
  2.40E+01  1.94E-13  1.39E-20  3.30E-23  4.40E-23  9.10E-25  7.84E-14  1.15E-13  6.28E-16  1.08E-17
  2.35E+01  1.82E-13  7.73E-21  1.62E-23  2.33E-23  4.07E-25  7.01E-14  1.11E-13  7.21E-16  1.05E-17
  2.32E+01  1.74E-13  5.36E-21  1.04E-23  1.57E-23  2.46E-25  6.55E-14  1.08E-13  7.63E-16  1.03E-17
  2.31E+01  1.72E-13  4.73E-21  8.94E-24  1.37E-23  2.07E-25  6.40E-14  1.07E-13  7.72E-16  1.03E-17
  2.30E+01  1.70E-13  4.17E-21  7.68E-24  1.20E-23  1.75E-25  6.26E-14  1.06E-13  7.79E-16  1.02E-17
  2.25E+01  1.59E-13  2.18E-21  3.52E-24  5.92E-24  7.22E-26  5.58E-14  1.03E-13  7.90E-16  9.93E-18
  2.20E+01  1.50E-13  1.11E-21  1.56E-24  2.83E-24  2.87E-26  4.98E-14  9.92E-14  8.07E-16  9.65E-18
  2.15E+01  1.41E-13  5.44E-22  6.67E-25  1.31E-24  1.09E-26  4.44E-14  9.53E-14  8.59E-16  9.37E-18
  2.12E+01  1.36E-13  3.50E-22  3.92E-25  8.13E-25  5.94E-27  4.14E-14  9.32E-14  8.82E-16  9.21E-18
  2.11E+01  1.34E-13  3.01E-22  3.27E-25  6.90E-25  4.84E-27  4.05E-14  9.25E-14  8.83E-16  9.16E-18
  2.10E+01  1.32E-13  2.58E-22  2.72E-25  5.84E-25  3.93E-27  3.96E-14  9.19E-14  8.80E-16  9.10E-18
  2.08E+01  1.29E-13  1.89E-22  1.88E-25  4.16E-25  2.57E-27  3.78E-14  9.05E-14  8.65E-16  8.99E-18
  2.00E+01  1.18E-13  5.05E-23  3.90E-26  9.99E-26  4.35E-28  3.16E-14  8.56E-14  7.94E-16  8.57E-18
  1.95E+01  1.12E-13  2.11E-23  1.36E-26  3.87E-26  1.33E-28  2.83E-14  8.24E-14  8.36E-16  8.51E-18
  1.90E+01  1.05E-13  8.40E-24  4.42E-27  1.44E-26  3.77E-29  2.54E-14  7.81E-14  9.88E-16  8.44E-18
  1.85E+01  9.65E-14  3.18E-24  1.33E-27  5.02E-27  9.86E-30  2.28E-14  7.25E-14  1.25E-15  8.38E-18
  1.83E+01  9.31E-14  2.13E-24  8.09E-28  3.25E-27  5.64E-30  2.18E-14  7.00E-14  1.33E-15  8.35E-18
  1.82E+01  9.14E-14  1.74E-24  6.26E-28  2.60E-27  4.24E-30  2.14E-14  6.86E-14  1.36E-15  8.33E-18
  1.81E+01  8.94E-14  1.41E-24  4.83E-28  2.07E-27  3.17E-30  2.09E-14  6.71E-14  1.38E-15  8.32E-18
  1.80E+01  8.75E-14  1.14E-24  3.71E-28  1.65E-27  2.36E-30  2.05E-14  6.56E-14  1.38E-15  8.30E-18
  1.75E+01  7.78E-14  3.86E-25  9.37E-29  5.09E-28  5.15E-31  1.85E-14  5.79E-14  1.39E-15  8.22E-18
  1.70E+01  6.82E-14  1.21E-25  2.11E-29  1.44E-28  1.01E-31  1.68E-14  4.98E-14  1.67E-15  8.13E-18
  1.67E+01  6.28E-14  5.85E-26  8.11E-30  6.58E-29  3.61E-32  1.58E-14  4.50E-14  1.95E-15  8.08E-18
  1.65E+01  5.91E-14  3.57E-26  4.17E-30  3.85E-29  0.00E+00  1.52E-14  4.19E-14  2.04E-15  8.04E-18
  1.64E+01  5.73E-14  2.77E-26  2.96E-30  2.92E-29  0.00E+00  1.49E-14  4.03E-14  2.03E-15  8.02E-18
  1.63E+01  5.55E-14  2.14E-26  2.09E-30  2.21E-29  0.00E+00  1.47E-14  3.89E-14  1.99E-15  8.00E-18
  1.61E+01  5.20E-14  1.27E-26  1.02E-30  1.25E-29  0.00E+00  1.41E-14  3.60E-14  1.85E-15  7.96E-18
  1.60E+01  5.03E-14  9.73E-27  7.05E-31  9.36E-30  0.00E+00  1.39E-14  3.46E-14  1.78E-15  7.94E-18
  1.59E+01  4.86E-14  7.43E-27  4.85E-31  6.98E-30  0.00E+00  1.36E-14  3.33E-14  1.73E-15  7.92E-18
  1.58E+01  4.71E-14  5.65E-27  3.31E-31  5.18E-30  0.00E+00  1.34E-14  3.20E-14  1.70E-15  7.90E-18
  1.57E+01  4.55E-14  4.27E-27  2.25E-31  3.82E-30  0.00E+00  1.31E-14  3.07E-14  1.67E-15  7.88E-18
  1.56E+01  4.40E-14  3.23E-27  1.52E-31  2.82E-30  0.00E+00  1.29E-14  2.95E-14  1.63E-15  7.86E-18
  1.54E+01  4.13E-14  1.83E-27  6.87E-32  1.52E-30  0.00E+00  1.25E-14  2.72E-14  1.59E-15  7.82E-18
  1.52E+01  3.88E-14  1.01E-27  3.09E-32  7.96E-31  0.00E+00  1.20E-14  2.51E-14  1.67E-15  7.77E-18
  1.51E+01  3.77E-14  7.49E-28  0.00E+00  5.73E-31  0.00E+00  1.18E-14  2.41E-14  1.72E-15  7.75E-18
  1.50E+01  3.65E-14  5.51E-28  0.00E+00  4.10E-31  0.00E+00  1.16E-14  2.32E-14  1.72E-15  7.73E-18
  1.45E+01  3.20E-14  1.11E-28  0.00E+00  7.21E-32  0.00E+00  1.07E-14  1.91E-14  2.16E-15  7.61E-18
