 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.850E-05 1.86E-01 1.12E-01 5.85E-01 1.23E+00 5.54E-01 2.21E-04 1.45E-01 6.34E-04 5.15E-02 7.83E-02 8.50E-02 3.024E+00
 1.790E-05 1.87E-01 1.13E-01 7.39E-01 1.10E+00 4.50E-01 1.69E-04 1.84E-01 7.60E-04 4.09E-02 7.77E-02 8.52E-02 2.975E+00
 1.720E-05 1.88E-01 1.14E-01 8.52E-01 1.01E+00 3.61E-01 1.35E-04 2.56E-01 9.52E-04 3.28E-02 7.69E-02 8.53E-02 2.976E+00
 1.670E-05 1.89E-01 1.15E-01 9.06E-01 9.71E-01 3.09E-01 1.22E-04 3.22E-01 1.13E-03 2.88E-02 7.63E-02 8.54E-02 3.004E+00
 1.610E-05 1.90E-01 1.16E-01 9.58E-01 9.37E-01 2.61E-01 1.25E-04 4.39E-01 1.39E-03 2.56E-02 7.55E-02 8.58E-02 3.090E+00
 1.560E-05 1.92E-01 1.17E-01 9.93E-01 9.17E-01 2.29E-01 1.41E-04 5.74E-01 1.66E-03 2.39E-02 7.48E-02 8.60E-02 3.208E+00
 1.520E-05 1.92E-01 1.18E-01 1.02E+00 9.03E-01 2.08E-01 1.63E-04 7.17E-01 1.91E-03 2.31E-02 7.42E-02 8.61E-02 3.341E+00
 1.470E-05 1.94E-01 1.19E-01 1.04E+00 8.88E-01 1.85E-01 2.06E-04 9.23E-01 2.27E-03 2.27E-02 7.36E-02 8.63E-02 3.533E+00
 1.430E-05 1.94E-01 1.19E-01 1.06E+00 8.77E-01 1.73E-01 2.58E-04 1.10E+00 2.54E-03 2.29E-02 7.32E-02 8.62E-02 3.705E+00
 1.390E-05 1.95E-01 1.20E-01 1.06E+00 8.67E-01 1.68E-01 3.28E-04 1.24E+00 2.81E-03 2.37E-02 7.30E-02 8.61E-02 3.838E+00
 1.350E-05 1.95E-01 1.20E-01 1.07E+00 8.58E-01 1.68E-01 4.20E-04 1.37E+00 3.14E-03 2.50E-02 7.27E-02 8.59E-02 3.967E+00
 1.320E-05 1.95E-01 1.20E-01 1.08E+00 8.50E-01 1.71E-01 5.10E-04 1.47E+00 3.44E-03 2.65E-02 7.24E-02 8.58E-02 4.070E+00
 1.280E-05 1.95E-01 1.21E-01 1.08E+00 8.41E-01 1.82E-01 6.69E-04 1.62E+00 3.92E-03 2.92E-02 7.21E-02 8.57E-02 4.225E+00
 1.250E-05 1.95E-01 1.21E-01 1.08E+00 8.39E-01 1.98E-01 8.25E-04 1.74E+00 4.34E-03 3.20E-02 7.18E-02 8.56E-02 4.360E+00
 1.190E-05 1.95E-01 1.21E-01 1.08E+00 8.49E-01 2.51E-01 1.27E-03 2.02E+00 5.42E-03 4.02E-02 7.12E-02 8.55E-02 4.719E+00
 1.160E-05 1.94E-01 1.21E-01 1.09E+00 8.57E-01 2.86E-01 1.58E-03 2.18E+00 6.12E-03 4.63E-02 7.09E-02 8.56E-02 4.939E+00
 1.140E-05 1.94E-01 1.21E-01 1.09E+00 8.59E-01 3.16E-01 1.86E-03 2.30E+00 6.65E-03 5.15E-02 7.06E-02 8.56E-02 5.102E+00
 1.110E-05 1.93E-01 1.21E-01 1.10E+00 8.63E-01 3.61E-01 2.43E-03 2.51E+00 7.59E-03 6.12E-02 7.03E-02 8.56E-02 5.371E+00
 1.080E-05 1.91E-01 1.21E-01 1.10E+00 8.67E-01 4.87E-01 3.24E-03 2.75E+00 8.75E-03 7.44E-02 6.99E-02 8.56E-02 5.763E+00
 1.050E-05 1.90E-01 1.21E-01 1.11E+00 8.72E-01 6.49E-01 4.20E-03 3.06E+00 1.02E-02 9.23E-02 6.95E-02 8.58E-02 6.255E+00
 1.030E-05 1.89E-01 1.20E-01 1.11E+00 8.74E-01 7.75E-01 4.81E-03 3.34E+00 1.14E-02 1.08E-01 6.91E-02 8.58E-02 6.686E+00
 1.000E-05 1.87E-01 1.20E-01 1.11E+00 8.79E-01 9.50E-01 5.87E-03 3.75E+00 1.31E-02 1.36E-01 6.87E-02 8.58E-02 7.305E+00
 9.750E-06 1.85E-01 1.20E-01 1.11E+00 8.82E-01 1.15E+00 7.28E-03 4.08E+00 1.46E-02 1.65E-01 6.84E-02 8.57E-02 7.872E+00
 9.500E-06 1.84E-01 1.19E-01 1.11E+00 8.87E-01 1.39E+00 8.62E-03 4.43E+00 1.62E-02 1.95E-01 6.81E-02 8.56E-02 8.493E+00
 9.250E-06 1.82E-01 1.18E-01 1.11E+00 8.90E-01 1.57E+00 9.63E-03 4.78E+00 1.78E-02 2.17E-01 6.78E-02 8.53E-02 9.055E+00
 9.080E-06 1.80E-01 1.18E-01 1.11E+00 8.94E-01 1.68E+00 1.03E-02 4.99E+00 1.86E-02 2.22E-01 6.77E-02 8.51E-02 9.375E+00
