 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 6.79E-08 3.31E-17 4.13E-07 7.00E-17 9.68E-09 7.54E-23 1.38E-07 1.92E-22 4.72E-12 8.16E-07 9.78E-15 1.444E-06
 2.159E-04 1.98E-02 2.72E-03 3.48E-04 6.84E-03 7.80E-03 2.42E-08 6.33E-03 2.08E-08 5.36E-05 4.76E-02 1.03E-01 1.947E-01
 1.662E-04 2.44E-02 7.25E-03 2.51E-04 1.95E-02 1.17E-02 6.75E-08 7.76E-03 5.96E-08 1.04E-04 5.56E-02 1.30E-01 2.563E-01
 1.235E-04 3.35E-02 2.01E-02 2.28E-04 5.90E-02 1.85E-02 2.16E-07 1.00E-02 1.96E-07 2.37E-04 6.51E-02 1.42E-01 3.484E-01
 5.477E-05 1.06E-01 1.03E-01 8.66E-04 6.37E-01 6.50E-02 5.12E-06 2.16E-02 5.11E-06 2.56E-03 8.85E-02 1.08E-01 1.134E+00
 4.440E-05 1.36E-01 1.09E-01 1.62E-03 9.39E-01 9.22E-02 1.20E-05 2.63E-02 1.20E-05 4.75E-03 9.01E-02 9.46E-02 1.493E+00
 3.656E-05 1.58E-01 1.10E-01 5.54E-03 1.21E+00 1.32E-01 2.70E-05 3.14E-02 2.69E-05 9.67E-03 8.85E-02 8.87E-02 1.838E+00
 2.780E-05 1.79E-01 1.10E-01 2.05E-02 1.45E+00 2.47E-01 1.04E-04 3.92E-02 8.64E-05 4.88E-02 8.46E-02 8.57E-02 2.267E+00
 2.630E-05 1.81E-01 1.10E-01 2.42E-02 1.48E+00 3.01E-01 1.48E-04 4.08E-02 1.11E-04 8.38E-02 8.38E-02 8.54E-02 2.389E+00
 2.500E-05 1.82E-01 1.10E-01 2.87E-02 1.50E+00 3.76E-01 2.16E-04 4.21E-02 1.39E-04 1.55E-01 8.31E-02 8.52E-02 2.564E+00
 2.380E-05 1.84E-01 1.10E-01 3.43E-02 1.53E+00 5.18E-01 3.30E-04 4.23E-02 1.74E-04 3.06E-01 8.23E-02 8.51E-02 2.889E+00
 2.270E-05 1.85E-01 1.10E-01 4.19E-02 1.56E+00 7.49E-01 4.83E-04 4.39E-02 2.19E-04 4.43E-01 8.17E-02 8.50E-02 3.296E+00
 2.170E-05 1.86E-01 1.10E-01 5.22E-02 1.59E+00 1.01E+00 6.27E-04 4.94E-02 2.74E-04 3.16E-01 8.10E-02 8.49E-02 3.486E+00
 2.080E-05 1.86E-01 1.10E-01 7.09E-02 1.63E+00 1.05E+00 5.82E-04 6.17E-02 3.40E-04 1.77E-01 8.04E-02 8.49E-02 3.453E+00
 2.000E-05 1.86E-01 1.10E-01 2.44E-01 1.50E+00 9.11E-01 4.56E-04 7.85E-02 4.17E-04 1.08E-01 7.97E-02 8.49E-02 3.306E+00
 1.920E-05 1.86E-01 1.10E-01 4.56E-01 1.32E+00 7.07E-01 3.13E-04 1.08E-01 5.18E-04 7.06E-02 7.90E-02 8.49E-02 3.127E+00
