 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  6.00E+01  6.41E-13  5.36E-14  3.93E-15  9.51E-16  2.75E-15  1.99E-13  3.82E-13  1.65E-16  5.31E-17
  5.00E+01  6.16E-13  1.01E-14  4.32E-16  1.54E-16  1.87E-16  2.48E-13  3.57E-13  1.87E-16  3.57E-17
  4.50E+01  6.15E-13  3.08E-15  9.35E-17  4.31E-17  2.96E-17  2.83E-13  3.29E-13  1.98E-16  2.89E-17
  4.00E+01  6.08E-13  6.21E-16  1.32E-17  7.78E-18  2.78E-18  3.19E-13  2.88E-13  2.10E-16  2.31E-17
  3.50E+01  5.59E-13  7.27E-17  9.45E-19  7.97E-19  1.25E-19  3.23E-13  2.35E-13  2.28E-16  1.82E-17
  3.00E+01  4.10E-13  3.77E-18  2.51E-20  3.42E-20  1.88E-21  2.32E-13  1.78E-13  2.63E-16  1.45E-17
  2.75E+01  3.11E-13  5.37E-19  2.34E-21  4.27E-21  1.25E-22  1.60E-13  1.51E-13  3.07E-16  1.29E-17
  2.50E+01  2.24E-13  4.88E-20  1.30E-22  3.31E-22  4.66E-24  9.78E-14  1.26E-13  4.42E-16  1.14E-17
  2.40E+01  1.96E-13  1.62E-20  3.40E-23  1.02E-22  1.02E-24  7.87E-14  1.17E-13  5.86E-16  1.08E-17
  2.35E+01  1.83E-13  8.99E-21  1.67E-23  5.46E-23  4.57E-25  7.03E-14  1.12E-13  6.75E-16  1.05E-17
  2.32E+01  1.76E-13  6.23E-21  1.07E-23  3.69E-23  2.77E-25  6.57E-14  1.10E-13  7.15E-16  1.03E-17
  2.31E+01  1.74E-13  5.50E-21  9.21E-24  3.23E-23  2.33E-25  6.43E-14  1.09E-13  7.24E-16  1.03E-17
  2.30E+01  1.72E-13  4.86E-21  7.92E-24  2.83E-23  1.96E-25  6.28E-14  1.08E-13  7.31E-16  1.02E-17
  2.25E+01  1.61E-13  2.54E-21  3.63E-24  1.41E-23  8.12E-26  5.60E-14  1.04E-13  7.40E-16  9.93E-18
  2.20E+01  1.51E-13  1.29E-21  1.61E-24  6.85E-24  3.23E-26  5.00E-14  1.01E-13  7.57E-16  9.65E-18
  2.15E+01  1.42E-13  6.33E-22  6.88E-25  3.21E-24  1.22E-26  4.46E-14  9.68E-14  8.06E-16  9.37E-18
  2.12E+01  1.37E-13  4.07E-22  4.04E-25  2.00E-24  6.68E-27  4.16E-14  9.46E-14  8.27E-16  9.21E-18
  2.11E+01  1.35E-13  3.50E-22  3.37E-25  1.70E-24  5.44E-27  4.07E-14  9.40E-14  8.28E-16  9.16E-18
  2.10E+01  1.34E-13  3.01E-22  2.81E-25  1.45E-24  4.42E-27  3.98E-14  9.33E-14  8.26E-16  9.10E-18
  2.08E+01  1.31E-13  2.20E-22  1.93E-25  1.03E-24  2.90E-27  3.80E-14  9.19E-14  8.11E-16  8.99E-18
  2.00E+01  1.20E-13  5.89E-23  4.02E-26  2.54E-25  4.90E-28  3.18E-14  8.70E-14  7.42E-16  8.57E-18
  1.95E+01  1.13E-13  2.45E-23  1.40E-26  9.98E-26  1.49E-28  2.85E-14  8.38E-14  7.82E-16  8.51E-18
  1.90E+01  1.06E-13  9.79E-24  4.56E-27  3.75E-26  4.24E-29  2.55E-14  7.94E-14  9.27E-16  8.44E-18
  1.85E+01  9.78E-14  3.71E-24  1.38E-27  1.33E-26  1.11E-29  2.29E-14  7.37E-14  1.17E-15  8.38E-18
  1.83E+01  9.44E-14  2.49E-24  8.34E-28  8.69E-27  6.35E-30  2.20E-14  7.11E-14  1.26E-15  8.35E-18
  1.82E+01  9.26E-14  2.02E-24  6.46E-28  6.97E-27  4.77E-30  2.15E-14  6.98E-14  1.28E-15  8.33E-18
  1.81E+01  9.06E-14  1.64E-24  4.98E-28  5.58E-27  3.57E-30  2.11E-14  6.82E-14  1.30E-15  8.32E-18
  1.80E+01  8.87E-14  1.33E-24  3.83E-28  4.46E-27  2.66E-30  2.06E-14  6.67E-14  1.30E-15  8.30E-18
