 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  1.04E-16  1.91E-18  8.68E-20  1.25E-19  1.69E-18
  9.00E+03  1.50E-16  2.72E-18  1.25E-19  1.81E-19  2.42E-18
  8.00E+03  2.24E-16  4.06E-18  1.88E-19  2.73E-19  3.60E-18
  7.00E+03  3.53E-16  6.39E-18  2.98E-19  4.36E-19  5.65E-18
  6.00E+03  5.96E-16  1.08E-17  5.09E-19  7.47E-19  9.50E-18
  5.50E+03  8.02E-16  1.44E-17  6.88E-19  1.01E-18  1.27E-17
  5.00E+03  1.11E-15  1.99E-17  9.57E-19  1.41E-18  1.75E-17
  4.50E+03  1.58E-15  2.84E-17  1.38E-18  2.03E-18  2.50E-17
  4.00E+03  2.36E-15  4.22E-17  2.07E-18  3.05E-18  3.71E-17
  3.50E+03  3.69E-15  6.60E-17  3.29E-18  4.82E-18  5.79E-17
  3.00E+03  6.19E-15  1.10E-16  5.61E-18  8.16E-18  9.67E-17
  2.50E+03  1.13E-14  2.02E-16  1.05E-17  1.51E-17  1.77E-16
  2.10E+03  2.02E-14  3.60E-16  1.92E-17  2.71E-17  3.13E-16
  1.50E+03  5.96E-14  1.06E-15  6.03E-17  8.04E-17  9.21E-16
  1.38E+03  7.73E-14  1.38E-15  7.94E-17  1.04E-16  1.19E-15
  1.32E+03  8.92E-14  1.59E-15  9.26E-17  1.20E-16  1.38E-15
  1.15E+03  1.37E-13  2.44E-15  1.47E-16  1.83E-16  2.11E-15
  1.00E+03  2.08E-13  3.73E-15  2.33E-16  2.77E-16  3.22E-15
  9.97E+02  2.10E-13  3.76E-15  2.35E-16  2.79E-16  3.25E-15
  8.67E+02  3.14E-13  5.64E-15  3.65E-16  4.16E-16  4.86E-15
  8.50E+02  3.33E-13  5.98E-15  3.89E-16  4.40E-16  5.15E-15
  7.50E+02  4.80E-13  8.67E-15  5.90E-16  6.16E-16  7.47E-15
  6.00E+02  8.52E-13  1.55E-14  1.16E-15  1.07E-15  1.33E-14
  5.50E+02  1.04E-12  1.91E-14  1.48E-15  1.26E-15  1.64E-14
  5.00E+02  1.33E-12  2.43E-14  1.94E-15  1.62E-15  2.07E-14
  4.50E+02  1.73E-12  3.14E-14  2.64E-15  2.19E-15  2.66E-14
  4.00E+02  2.26E-12  4.11E-14  3.71E-15  2.91E-15  3.45E-14
  3.50E+02  2.91E-12  5.14E-14  5.02E-15  4.19E-15  4.22E-14
  3.00E+02  3.88E-12  6.73E-14  7.42E-15  5.70E-15  5.42E-14
  2.75E+02  4.32E-12  7.41E-14  8.87E-15  6.38E-15  5.89E-14
  2.50E+02  4.74E-12  8.04E-14  1.05E-14  6.88E-15  6.31E-14
  2.40E+02  4.88E-12  8.23E-14  1.13E-14  7.00E-15  6.40E-14
  2.00E+02  5.14E-12  8.46E-14  1.44E-14  6.69E-15  6.35E-14
  1.80E+02  4.92E-12  8.05E-14  1.57E-14  5.72E-15  5.91E-14
  1.60E+02  4.42E-12  7.18E-14  1.69E-14  4.28E-15  5.06E-14
  1.50E+02  4.07E-12  6.56E-14  1.75E-14  3.48E-15  4.47E-14
  1.40E+02  3.55E-12  5.62E-14  1.67E-14  2.66E-15  3.68E-14
  1.20E+02  2.59E-12  3.90E-14  1.56E-14  1.23E-15  2.22E-14
  1.00E+02  1.58E-12  2.01E-14  1.07E-14  3.58E-16  8.99E-15
  9.00E+01  1.20E-12  1.29E-14  8.07E-15  1.42E-16  4.64E-15
  8.00E+01  9.08E-13  6.86E-15  5.02E-15  4.26E-17  1.80E-15
  7.50E+01  8.05E-13  4.71E-15  3.66E-15  2.06E-17  1.03E-15
  7.00E+01  7.31E-13  3.07E-15  2.54E-15  8.82E-18  5.22E-16
  6.00E+01  6.41E-13  9.51E-16  8.62E-16  9.71E-19  8.78E-17
  5.00E+01  6.16E-13  1.54E-16  1.48E-16  4.03E-20  6.19E-18
  4.50E+01  6.15E-13  4.31E-17  4.21E-17  4.44E-21  9.94E-19
  4.00E+01  6.08E-13  7.78E-18  7.69E-18  2.60E-22  9.43E-20
  3.50E+01  5.59E-13  7.97E-19  7.93E-19  5.98E-24  4.30E-21
  3.00E+01  4.10E-13  3.42E-20  3.41E-20  3.35E-26  6.43E-23
  2.75E+01  3.11E-13  4.27E-21  4.26E-21  1.16E-27  4.22E-24
  2.50E+01  2.24E-13  3.31E-22  3.31E-22  1.95E-29  1.55E-25
  2.40E+01  1.96E-13  1.02E-22  1.02E-22  2.96E-30  3.37E-26
  2.35E+01  1.83E-13  5.46E-23  5.46E-23  1.09E-30  1.50E-26
  2.32E+01  1.76E-13  3.69E-23  3.69E-23  5.83E-31  9.01E-27
  2.31E+01  1.74E-13  3.23E-23  3.23E-23  4.72E-31  7.58E-27
  2.30E+01  1.72E-13  2.83E-23  2.83E-23  3.81E-31  6.37E-27
  2.25E+01  1.61E-13  1.41E-23  1.41E-23  1.28E-31  2.62E-27
  2.20E+01  1.51E-13  6.85E-24  6.84E-24  4.07E-32  1.03E-27
  2.15E+01  1.42E-13  3.21E-24  3.21E-24  1.22E-32  3.86E-28
  2.12E+01  1.37E-13  2.00E-24  2.00E-24  5.77E-33  2.09E-28
  2.11E+01  1.35E-13  1.70E-24  1.70E-24  4.46E-33  1.70E-28
