 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   1.202E-04   7.782E-05   3.657E-04   5.722E-02
   1.500E-03   1.201E-04   7.738E-05   3.648E-04   5.666E-02
   1.450E-03   1.210E-04   7.937E-05   3.684E-04   5.507E-02
   1.440E-03   1.214E-04   8.027E-05   3.702E-04   5.498E-02
   1.430E-03   1.217E-04   8.101E-05   3.743E-04   5.508E-02
   1.420E-03   1.220E-04   8.172E-05   3.784E-04   5.518E-02
   1.400E-03   1.228E-04   8.338E-05   3.902E-04   5.584E-02
   1.380E-03   1.235E-04   8.492E-05   4.056E-04   5.694E-02
   1.370E-03   1.238E-04   8.580E-05   4.155E-04   5.780E-02
   1.360E-03   1.243E-04   8.666E-05   4.265E-04   5.879E-02
   1.350E-03   1.250E-04   8.776E-05   4.377E-04   5.982E-02
   1.340E-03   1.256E-04   8.884E-05   4.493E-04   6.101E-02
   1.330E-03   1.259E-04   9.021E-05   4.609E-04   6.225E-02
   1.320E-03   1.265E-04   9.163E-05   4.729E-04   6.354E-02
   1.310E-03   1.266E-04   9.330E-05   4.847E-04   6.491E-02
   1.290E-03   1.264E-04   9.732E-05   5.088E-04   6.777E-02
   1.280E-03   1.263E-04   9.946E-05   5.224E-04   6.947E-02
   1.270E-03   1.267E-04   1.012E-04   5.368E-04   7.117E-02
   1.260E-03   1.269E-04   1.038E-04   5.507E-04   7.289E-02
   1.250E-03   1.270E-04   1.073E-04   5.639E-04   7.469E-02
   1.220E-03   1.290E-04   1.283E-04   6.074E-04   8.149E-02
   1.210E-03   1.292E-04   1.422E-04   6.212E-04   8.462E-02
   1.200E-03   1.293E-04   1.587E-04   6.354E-04   8.811E-02
   1.190E-03   1.302E-04   1.760E-04   6.509E-04   9.191E-02
   1.180E-03   1.307E-04   1.925E-04   6.628E-04   9.569E-02
   1.170E-03   1.311E-04   2.069E-04   6.747E-04   9.942E-02
   1.160E-03   1.317E-04   2.188E-04   6.848E-04   1.029E-01
   1.150E-03   1.317E-04   2.284E-04   6.937E-04   1.064E-01
   1.140E-03   1.315E-04   2.362E-04   7.032E-04   1.096E-01
   1.130E-03   1.315E-04   2.425E-04   7.132E-04   1.129E-01
   1.120E-03   1.316E-04   2.479E-04   7.219E-04   1.160E-01
   1.110E-03   1.315E-04   2.530E-04   7.297E-04   1.191E-01
   1.090E-03   1.319E-04   2.621E-04   7.423E-04   1.256E-01
   1.050E-03   1.338E-04   2.726E-04   7.530E-04   1.408E-01
   1.000E-03   1.371E-04   2.696E-04   6.797E-04   1.535E-01
   9.800E-04   1.386E-04   2.593E-04   6.472E-04   1.577E-01
   9.600E-04   1.399E-04   2.419E-04   5.999E-04   1.606E-01
   9.500E-04   1.411E-04   2.312E-04   5.669E-04   1.608E-01
   9.400E-04   1.412E-04   2.197E-04   5.283E-04   1.595E-01
   9.200E-04   1.421E-04   1.968E-04   4.470E-04   1.516E-01
   8.900E-04   1.443E-04   1.620E-04   3.569E-04   1.317E-01
   8.700E-04   1.439E-04   1.425E-04   3.238E-04   1.185E-01
   8.600E-04   1.449E-04   1.340E-04   3.139E-04   1.132E-01
   8.500E-04   1.449E-04   1.251E-04   3.037E-04   1.081E-01
   8.400E-04   1.461E-04   1.156E-04   2.934E-04   1.028E-01
   8.200E-04   1.456E-04   9.624E-05   2.691E-04   8.983E-02
   8.000E-04   1.464E-04   8.007E-05   2.533E-04   7.665E-02
   7.900E-04   1.473E-04   7.423E-05   2.547E-04   7.239E-02
   7.800E-04   1.470E-04   6.949E-05   2.541E-04   6.822E-02
