 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
7.900E-04 2.51E-02 5.03E-05 1.09E-02 1.31E-05 6.17E-04 8.02E-11 1.10E-02 1.97E-11 1.19E-04 6.55E-03 5.43E-04 5.494E-02
7.800E-04 2.53E-02 5.22E-05 1.00E-02 1.42E-05 6.29E-04 8.44E-11 8.93E-03 2.23E-11 1.43E-04 6.23E-03 5.76E-04 5.188E-02
7.700E-04 2.54E-02 5.42E-05 9.24E-03 1.54E-05 6.42E-04 8.88E-11 7.35E-03 2.66E-11 1.53E-04 5.98E-03 6.19E-04 4.941E-02
7.600E-04 2.54E-02 5.64E-05 8.56E-03 1.66E-05 6.55E-04 9.36E-11 6.24E-03 3.25E-11 1.42E-04 5.82E-03 6.71E-04 4.759E-02
7.500E-04 2.55E-02 5.88E-05 7.97E-03 1.81E-05 6.69E-04 9.86E-11 5.24E-03 3.95E-11 1.17E-04 5.67E-03 7.29E-04 4.595E-02
7.300E-04 2.58E-02 6.45E-05 7.04E-03 2.13E-05 6.98E-04 1.10E-10 4.39E-03 5.63E-11 7.21E-05 5.60E-03 8.66E-04 4.457E-02
7.200E-04 2.59E-02 6.72E-05 6.75E-03 2.32E-05 7.14E-04 1.16E-10 4.24E-03 6.51E-11 5.97E-05 5.60E-03 9.32E-04 4.431E-02
7.100E-04 2.60E-02 7.03E-05 6.57E-03 2.51E-05 7.30E-04 1.23E-10 4.12E-03 7.49E-11 5.83E-05 5.60E-03 1.01E-03 4.414E-02
7.000E-04 2.63E-02 7.39E-05 6.39E-03 2.70E-05 7.46E-04 1.30E-10 4.08E-03 8.48E-11 8.18E-05 5.65E-03 1.08E-03 4.438E-02
6.900E-04 2.64E-02 7.67E-05 6.13E-03 2.90E-05 7.64E-04 1.37E-10 4.05E-03 9.56E-11 4.69E-05 5.67E-03 1.16E-03 4.433E-02
