 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   2.867E-04   6.127E-05   8.119E-05   4.315E-02
   1.500E-03   2.865E-04   6.093E-05   8.089E-05   4.274E-02
   1.450E-03   2.887E-04   6.249E-05   8.106E-05   4.153E-02
   1.440E-03   2.895E-04   6.320E-05   8.133E-05   4.146E-02
   1.430E-03   2.902E-04   6.378E-05   8.209E-05   4.150E-02
   1.420E-03   2.909E-04   6.434E-05   8.284E-05   4.154E-02
   1.400E-03   2.929E-04   6.565E-05   8.514E-05   4.189E-02
   1.380E-03   2.946E-04   6.686E-05   8.823E-05   4.252E-02
   1.370E-03   2.953E-04   6.754E-05   9.027E-05   4.300E-02
   1.360E-03   2.966E-04   6.823E-05   9.256E-05   4.357E-02
   1.350E-03   2.980E-04   6.909E-05   9.491E-05   4.418E-02
   1.340E-03   2.994E-04   6.994E-05   9.736E-05   4.490E-02
   1.330E-03   3.003E-04   7.102E-05   9.982E-05   4.564E-02
   1.320E-03   3.016E-04   7.214E-05   1.024E-04   4.642E-02
   1.310E-03   3.019E-04   7.345E-05   1.049E-04   4.725E-02
   1.290E-03   3.014E-04   7.661E-05   1.101E-04   4.896E-02
   1.280E-03   3.013E-04   7.830E-05   1.130E-04   5.001E-02
   1.270E-03   3.020E-04   7.967E-05   1.162E-04   5.103E-02
   1.260E-03   3.027E-04   8.173E-05   1.193E-04   5.202E-02
   1.250E-03   3.028E-04   8.447E-05   1.222E-04   5.305E-02
   1.220E-03   3.077E-04   1.010E-04   1.320E-04   5.737E-02
   1.210E-03   3.081E-04   1.119E-04   1.353E-04   5.950E-02
   1.200E-03   3.082E-04   1.249E-04   1.386E-04   6.189E-02
   1.190E-03   3.104E-04   1.385E-04   1.422E-04   6.454E-02
   1.180E-03   3.117E-04   1.515E-04   1.452E-04   6.721E-02
   1.170E-03   3.127E-04   1.629E-04   1.481E-04   6.985E-02
   1.160E-03   3.139E-04   1.722E-04   1.507E-04   7.234E-02
   1.150E-03   3.140E-04   1.798E-04   1.531E-04   7.489E-02
   1.140E-03   3.136E-04   1.859E-04   1.555E-04   7.721E-02
   1.130E-03   3.136E-04   1.908E-04   1.582E-04   7.955E-02
   1.120E-03   3.138E-04   1.951E-04   1.606E-04   8.163E-02
   1.110E-03   3.136E-04   1.992E-04   1.629E-04   8.366E-02
   1.090E-03   3.144E-04   2.063E-04   1.669E-04   8.808E-02
   1.050E-03   3.189E-04   2.146E-04   1.725E-04   9.916E-02
   1.000E-03   3.268E-04   2.123E-04   1.591E-04   1.098E-01
   9.800E-04   3.304E-04   2.041E-04   1.528E-04   1.134E-01
   9.600E-04   3.335E-04   1.904E-04   1.430E-04   1.162E-01
   9.500E-04   3.363E-04   1.820E-04   1.358E-04   1.168E-01
   9.400E-04   3.365E-04   1.730E-04   1.271E-04   1.162E-01
   9.200E-04   3.387E-04   1.549E-04   1.079E-04   1.112E-01
   8.900E-04   3.439E-04   1.275E-04   8.546E-05   9.724E-02
   8.700E-04   3.429E-04   1.122E-04   7.673E-05   8.788E-02
   8.600E-04   3.453E-04   1.054E-04   7.403E-05   8.414E-02
   8.500E-04   3.454E-04   9.844E-05   7.133E-05   8.047E-02
   8.400E-04   3.480E-04   9.101E-05   6.861E-05   7.672E-02
   8.200E-04   3.469E-04   7.574E-05   6.214E-05   6.752E-02
   8.000E-04   3.487E-04   6.301E-05   5.745E-05   5.809E-02
   7.900E-04   3.510E-04   5.841E-05   5.727E-05   5.494E-02
   7.800E-04   3.501E-04   5.468E-05   5.660E-05   5.188E-02
   7.700E-04   3.490E-04   5.146E-05   5.659E-05   4.941E-02
   7.600E-04   3.482E-04   4.865E-05   5.724E-05   4.759E-02
   7.500E-04   3.473E-04   4.611E-05   5.799E-05   4.595E-02
   7.300E-04   3.494E-04   4.224E-05   6.140E-05   4.457E-02
   7.200E-04   3.485E-04   4.116E-05   6.288E-05   4.431E-02
   7.100E-04   3.479E-04   4.057E-05   6.464E-05   4.414E-02
   7.000E-04   3.503E-04   3.988E-05   6.665E-05   4.438E-02
   6.900E-04   3.486E-04   3.863E-05   6.801E-05   4.433E-02
   6.800E-04   3.416E-04   3.691E-05   6.894E-05   4.367E-02
   6.600E-04   3.447E-04   3.386E-05   7.340E-05   4.354E-02
   6.400E-04   3.545E-04   2.988E-05   7.846E-05   4.404E-02
   6.300E-04   3.599E-04   2.821E-05   8.071E-05   4.457E-02
   6.200E-04   3.594E-04   2.804E-05   8.232E-05   4.487E-02
   6.100E-04   3.617E-04   2.805E-05   8.444E-05   4.528E-02
   5.900E-04   3.730E-04   2.340E-05   8.943E-05   4.616E-02
   5.500E-04   3.484E-04   1.816E-05   9.445E-05   4.498E-02
   5.300E-04   3.518E-04   1.659E-05   1.004E-04   4.564E-02
   5.200E-04   3.518E-04   1.580E-05   1.033E-04   4.593E-02
   5.100E-04   3.550E-04   1.499E-05   1.067E-04   4.652E-02
   5.000E-04   3.583E-04   1.421E-05   1.101E-04   4.711E-02
   4.800E-04   3.612E-04   1.303E-05   1.167E-04   4.822E-02
   4.500E-04   3.695E-04   1.168E-05   1.273E-04   5.075E-02
   4.000E-04   3.805E-04   1.034E-05   1.477E-04   5.542E-02
   3.800E-04   3.882E-04   1.020E-05   1.568E-04   5.793E-02
   3.600E-04   3.971E-04   1.036E-05   1.666E-04   6.076E-02
   3.400E-04   4.140E-04   1.094E-05   1.767E-04   6.484E-02
   3.300E-04   4.119E-04   1.142E-05   1.812E-04   6.616E-02
   3.200E-04   4.148E-04   1.203E-05   1.873E-04   6.759E-02
   3.150E-04   4.194E-04   1.242E-05   1.905E-04   6.868E-02
   3.100E-04   4.238E-04   1.286E-05   1.934E-04   6.984E-02
   3.080E-04   4.251E-04   1.304E-05   1.945E-04   7.028E-02
   3.050E-04   4.267E-04   1.334E-05   1.962E-04   7.090E-02
   3.000E-04   4.300E-04   1.390E-05   1.992E-04   7.202E-02
   2.900E-04   4.395E-04   1.522E-05   2.049E-04   7.465E-02
   2.800E-04   4.435E-04   1.688E-05   2.105E-04   7.691E-02
   2.600E-04   4.622E-04   2.155E-05   2.235E-04   8.272E-02
   2.500E-04   4.767E-04   2.482E-05   2.307E-04   8.632E-02
   2.200E-04   5.404E-04   4.087E-05   2.509E-04   1.002E-01
   2.159E-04   5.493E-04   4.414E-05   2.533E-04   1.024E-01
   2.000E-04   6.011E-04   6.073E-05   2.636E-04   1.125E-01
   1.662E-04   7.640E-04   1.339E-04   2.781E-04   1.431E-01
   1.650E-04   7.718E-04   1.381E-04   2.783E-04   1.445E-01
   1.250E-04   1.211E-03   4.265E-04   2.676E-04   2.235E-01
   1.235E-04   1.236E-03   4.459E-04   2.660E-04   2.283E-01
   1.130E-04   1.427E-03   6.088E-04   2.528E-04   2.681E-01
   1.000E-04   1.719E-03   8.918E-04   2.278E-04   3.394E-01
   9.500E-05   1.840E-03   1.033E-03   2.154E-04   3.755E-01
   9.300E-05   1.889E-03   1.095E-03   2.102E-04   3.916E-01
   9.200E-05   1.913E-03   1.128E-03   2.076E-04   4.000E-01
   9.100E-05   1.938E-03   1.162E-03   2.049E-04   4.087E-01
   9.000E-05   1.963E-03   1.196E-03   2.023E-04   4.176E-01
   8.900E-05   1.988E-03   1.232E-03   1.997E-04   4.268E-01
   8.800E-05   2.014E-03   1.268E-03   1.970E-04   4.363E-01
   8.700E-05   2.040E-03   1.306E-03   1.944E-04   4.462E-01
   8.600E-05   2.067E-03   1.344E-03   1.917E-04   4.563E-01
   8.500E-05   2.095E-03   1.382E-03   1.891E-04   4.668E-01
   8.400E-05   2.124E-03   1.422E-03   1.865E-04   4.778E-01
   8.330E-05   2.145E-03   1.450E-03   1.847E-04   4.857E-01
   8.200E-05   2.186E-03   1.502E-03   1.813E-04   5.009E-01
   8.100E-05   2.218E-03   1.543E-03   1.786E-04   5.130E-01
   8.000E-05   2.252E-03   1.585E-03   1.758E-04   5.257E-01
   7.900E-05   2.287E-03   1.628E-03   1.730E-04   5.388E-01
   7.800E-05   2.323E-03   1.671E-03   1.700E-04   5.523E-01
   7.700E-05   2.359E-03   1.715E-03   1.669E-04   5.662E-01
   7.600E-05   2.396E-03   1.761E-03   1.637E-04   5.807E-01
   7.500E-05   2.433E-03   1.808E-03   1.603E-04   5.955E-01
   7.400E-05   2.470E-03   1.857E-03   1.568E-04   6.108E-01
   7.300E-05   2.507E-03   1.907E-03   1.531E-04   6.265E-01
   7.140E-05   2.566E-03   1.993E-03   1.470E-04   6.526E-01
   7.100E-05   2.580E-03   2.015E-03   1.455E-04   6.593E-01
   7.000E-05   2.616E-03   2.072E-03   1.416E-04   6.764E-01
   6.900E-05   2.653E-03   2.131E-03   1.377E-04   6.940E-01
   6.800E-05   2.690E-03   2.191E-03   1.339E-04   7.122E-01
   6.700E-05   2.727E-03   2.253E-03   1.302E-04   7.310E-01
   6.600E-05   2.764E-03   2.315E-03   1.265E-04   7.503E-01
   6.500E-05   2.803E-03   2.377E-03   1.230E-04   7.705E-01
   6.400E-05   2.841E-03   2.439E-03   1.196E-04   7.913E-01
   6.300E-05   2.881E-03   2.499E-03   1.163E-04   8.129E-01
   6.250E-05   2.901E-03   2.528E-03   1.146E-04   8.240E-01
   6.200E-05   2.920E-03   2.558E-03   1.129E-04   8.353E-01
   6.100E-05   2.960E-03   2.617E-03   1.094E-04   8.585E-01
   6.000E-05   3.001E-03   2.677E-03   1.058E-04   8.824E-01
   5.900E-05   3.040E-03   2.741E-03   1.020E-04   9.072E-01
   5.800E-05   3.080E-03   2.809E-03   9.814E-05   9.328E-01
   5.700E-05   3.118E-03   2.882E-03   9.410E-05   9.591E-01
   5.600E-05   3.154E-03   2.962E-03   9.003E-05   9.861E-01
   5.500E-05   3.188E-03   3.047E-03   8.599E-05   1.014E+00
   5.477E-05   3.196E-03   3.068E-03   8.507E-05   1.021E+00
   5.400E-05   3.220E-03   3.137E-03   8.205E-05   1.044E+00
   5.300E-05   3.248E-03   3.230E-03   7.828E-05   1.073E+00
   5.200E-05   3.274E-03   3.322E-03   7.471E-05   1.103E+00
   5.100E-05   3.294E-03   3.412E-03   7.132E-05   1.134E+00
   5.000E-05   3.310E-03   3.498E-03   6.808E-05   1.166E+00
   4.900E-05   3.322E-03   3.580E-03   6.493E-05   1.199E+00
   4.880E-05   3.323E-03   3.596E-03   6.430E-05   1.206E+00
   4.800E-05   3.328E-03   3.662E-03   6.180E-05   1.233E+00
   4.760E-05   3.329E-03   3.695E-03   6.055E-05   1.247E+00
   4.700E-05   3.328E-03   3.745E-03   5.866E-05   1.268E+00
   4.650E-05   3.327E-03   3.787E-03   5.708E-05   1.286E+00
   4.600E-05   3.324E-03   3.832E-03   5.550E-05   1.304E+00
   4.550E-05   3.319E-03   3.879E-03   5.393E-05   1.322E+00
   4.500E-05   3.313E-03   3.929E-03   5.239E-05   1.340E+00
