 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.70E+01  4.31E-14  7.22E-33  7.21E-33  4.21E-36  2.15E-39
  1.67E+01  3.95E-14  2.60E-33  2.59E-33  1.29E-36  5.86E-40
  1.65E+01  3.71E-14  1.29E-33  1.29E-33  5.71E-37  2.40E-40
  1.64E+01  3.59E-14  8.98E-34  8.98E-34  3.77E-37  1.52E-40
  1.63E+01  3.46E-14  6.24E-34  6.24E-34  2.48E-37  0.00E+00
  1.61E+01  3.22E-14  2.97E-34  2.97E-34  1.05E-37  0.00E+00
  1.60E+01  3.11E-14  2.03E-34  2.03E-34  6.80E-38  0.00E+00
  1.59E+01  2.99E-14  1.39E-34  1.39E-34  4.38E-38  0.00E+00
  1.58E+01  2.89E-14  9.40E-35  9.39E-35  2.80E-38  0.00E+00
  1.57E+01  2.79E-14  6.33E-35  6.33E-35  1.79E-38  0.00E+00
  1.56E+01  2.69E-14  4.26E-35  4.26E-35  1.14E-38  0.00E+00
  1.54E+01  2.51E-14  1.89E-35  1.89E-35  4.59E-39  0.00E+00
  1.52E+01  2.35E-14  8.17E-36  8.17E-36  1.84E-39  0.00E+00
  1.51E+01  2.28E-14  5.33E-36  5.32E-36  1.16E-39  0.00E+00
  1.50E+01  2.21E-14  3.45E-36  3.45E-36  7.35E-40  0.00E+00
  1.45E+01  1.94E-14  3.64E-37  3.64E-37  0.00E+00  0.00E+00
  1.44E+01  1.91E-14  2.28E-37  2.28E-37  0.00E+00  0.00E+00
  1.43E+01  1.89E-14  1.41E-37  1.41E-37  0.00E+00  0.00E+00
  1.42E+01  1.86E-14  8.73E-38  8.73E-38  0.00E+00  0.00E+00
  1.40E+01  1.82E-14  3.27E-38  3.27E-38  0.00E+00  0.00E+00
  1.38E+01  1.86E-14  1.18E-38  1.18E-38  0.00E+00  0.00E+00
  1.37E+01  1.93E-14  7.06E-39  7.06E-39  0.00E+00  0.00E+00
  1.36E+01  2.00E-14  4.18E-39  4.18E-39  0.00E+00  0.00E+00
  1.35E+01  2.03E-14  2.45E-39  2.45E-39  0.00E+00  0.00E+00
  1.34E+01  2.07E-14  1.43E-39  1.43E-39  0.00E+00  0.00E+00
  1.33E+01  2.17E-14  8.23E-40  8.23E-40  0.00E+00  0.00E+00
  1.32E+01  2.35E-14  4.71E-40  4.71E-40  0.00E+00  0.00E+00
