 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.510E-03   1.047E-03   9.293E-05   6.110E-04   5.015E-02
   1.500E-03   1.044E-03   9.281E-05   6.113E-04   4.991E-02
   1.450E-03   1.047E-03   9.697E-05   6.292E-04   4.960E-02
   1.440E-03   1.048E-03   9.836E-05   6.346E-04   4.966E-02
   1.430E-03   1.049E-03   9.953E-05   6.443E-04   4.983E-02
   1.420E-03   1.050E-03   1.007E-04   6.542E-04   4.999E-02
   1.400E-03   1.054E-03   1.032E-04   6.799E-04   5.058E-02
   1.380E-03   1.056E-03   1.057E-04   7.114E-04   5.137E-02
   1.370E-03   1.057E-03   1.070E-04   7.302E-04   5.190E-02
   1.360E-03   1.060E-03   1.084E-04   7.507E-04   5.253E-02
   1.350E-03   1.063E-03   1.101E-04   7.715E-04   5.319E-02
   1.340E-03   1.065E-03   1.117E-04   7.915E-04   5.390E-02
   1.330E-03   1.065E-03   1.138E-04   8.112E-04   5.459E-02
   1.320E-03   1.067E-03   1.159E-04   8.316E-04   5.534E-02
   1.310E-03   1.064E-03   1.183E-04   8.505E-04   5.605E-02
   1.290E-03   1.058E-03   1.241E-04   8.896E-04   5.746E-02
   1.280E-03   1.057E-03   1.272E-04   9.107E-04   5.831E-02
   1.270E-03   1.059E-03   1.299E-04   9.329E-04   5.921E-02
   1.260E-03   1.059E-03   1.338E-04   9.529E-04   6.009E-02
   1.250E-03   1.059E-03   1.389E-04   9.711E-04   6.095E-02
   1.220E-03   1.072E-03   1.688E-04   1.030E-03   6.455E-02
   1.210E-03   1.070E-03   1.879E-04   1.046E-03   6.604E-02
   1.200E-03   1.070E-03   2.101E-04   1.062E-03   6.769E-02
   1.190E-03   1.076E-03   2.328E-04   1.079E-03   6.959E-02
   1.180E-03   1.077E-03   2.538E-04   1.089E-03   7.136E-02
   1.170E-03   1.078E-03   2.714E-04   1.098E-03   7.306E-02
   1.160E-03   1.079E-03   2.852E-04   1.104E-03   7.465E-02
   1.150E-03   1.076E-03   2.958E-04   1.109E-03   7.619E-02
   1.140E-03   1.072E-03   3.039E-04   1.114E-03   7.750E-02
   1.130E-03   1.071E-03   3.101E-04   1.120E-03   7.890E-02
   1.120E-03   1.070E-03   3.153E-04   1.122E-03   8.018E-02
   1.110E-03   1.069E-03   3.200E-04   1.123E-03   8.141E-02
   1.090E-03   1.070E-03   3.277E-04   1.119E-03   8.405E-02
   1.050E-03   1.083E-03   3.328E-04   1.078E-03   9.036E-02
   1.000E-03   1.101E-03   3.187E-04   9.249E-04   9.553E-02
   9.800E-04   1.109E-03   3.023E-04   8.661E-04   9.732E-02
   9.600E-04   1.117E-03   2.787E-04   7.885E-04   9.854E-02
   9.500E-04   1.122E-03   2.650E-04   7.387E-04   9.870E-02
   9.400E-04   1.119E-03   2.509E-04   6.842E-04   9.806E-02
   9.200E-04   1.119E-03   2.236E-04   5.780E-04   9.471E-02
   8.900E-04   1.130E-03   1.837E-04   4.707E-04   8.640E-02
   8.700E-04   1.122E-03   1.620E-04   4.345E-04   8.063E-02
   8.600E-04   1.128E-03   1.524E-04   4.240E-04   7.850E-02
   8.500E-04   1.126E-03   1.424E-04   4.126E-04   7.630E-02
   8.400E-04   1.133E-03   1.319E-04   4.003E-04   7.419E-02
   8.200E-04   1.121E-03   1.103E-04   3.706E-04   6.846E-02
   8.000E-04   1.124E-03   9.250E-05   3.518E-04   6.281E-02
   7.900E-04   1.129E-03   8.613E-05   3.552E-04   6.110E-02
   7.800E-04   1.122E-03   8.096E-05   3.555E-04   5.922E-02
   7.700E-04   1.117E-03   7.649E-05   3.595E-04   5.775E-02
   7.600E-04   1.113E-03   7.257E-05   3.674E-04   5.673E-02
   7.500E-04   1.109E-03   6.902E-05   3.759E-04   5.584E-02
   7.300E-04   1.115E-03   6.365E-05   4.039E-04   5.558E-02
   7.200E-04   1.109E-03   6.222E-05   4.156E-04   5.557E-02
   7.100E-04   1.108E-03   6.149E-05   4.294E-04   5.567E-02
   7.000E-04   1.113E-03   6.057E-05   4.441E-04   5.619E-02
   6.900E-04   1.103E-03   5.879E-05   4.543E-04   5.627E-02
   6.800E-04   1.083E-03   5.630E-05   4.623E-04   5.566E-02
   6.600E-04   1.100E-03   5.186E-05   4.953E-04   5.637E-02
   6.400E-04   1.133E-03   4.598E-05   5.306E-04   5.792E-02
   6.300E-04   1.145E-03   4.354E-05   5.454E-04   5.886E-02
   6.200E-04   1.140E-03   4.339E-05   5.564E-04   5.927E-02
   6.100E-04   1.147E-03   4.349E-05   5.708E-04   5.997E-02
   5.900E-04   1.175E-03   3.646E-05   6.031E-04   6.190E-02
   5.500E-04   1.092E-03   2.870E-05   6.371E-04   6.086E-02
   5.300E-04   1.108E-03   2.645E-05   6.765E-04   6.236E-02
   5.200E-04   1.109E-03   2.531E-05   6.950E-04   6.298E-02
   5.100E-04   1.121E-03   2.414E-05   7.169E-04   6.405E-02
   5.000E-04   1.132E-03   2.306E-05   7.381E-04   6.515E-02
   4.800E-04   1.142E-03   2.142E-05   7.789E-04   6.713E-02
   4.500E-04   1.166E-03   1.968E-05   8.421E-04   7.110E-02
   4.000E-04   1.207E-03   1.853E-05   9.638E-04   7.886E-02
   3.800E-04   1.235E-03   1.886E-05   1.019E-03   8.310E-02
   3.600E-04   1.268E-03   1.985E-05   1.078E-03   8.802E-02
   3.400E-04   1.320E-03   2.174E-05   1.134E-03   9.460E-02
   3.300E-04   1.315E-03   2.310E-05   1.158E-03   9.682E-02
   3.200E-04   1.330E-03   2.478E-05   1.192E-03   9.979E-02
   3.150E-04   1.347E-03   2.580E-05   1.210E-03   1.018E-01
   3.100E-04   1.363E-03   2.692E-05   1.226E-03   1.038E-01
   3.080E-04   1.367E-03   2.740E-05   1.232E-03   1.045E-01
   3.050E-04   1.373E-03   2.815E-05   1.242E-03   1.056E-01
   3.000E-04   1.386E-03   2.955E-05   1.259E-03   1.076E-01
   2.900E-04   1.420E-03   3.280E-05   1.293E-03   1.121E-01
   2.800E-04   1.438E-03   3.682E-05   1.325E-03   1.162E-01
   2.600E-04   1.515E-03   4.790E-05   1.399E-03   1.263E-01
   2.500E-04   1.571E-03   5.552E-05   1.437E-03   1.324E-01
   2.200E-04   1.809E-03   9.212E-05   1.539E-03   1.545E-01
   2.159E-04   1.843E-03   9.945E-05   1.551E-03   1.578E-01
   2.000E-04   2.035E-03   1.362E-04   1.597E-03   1.733E-01
   1.662E-04   2.610E-03   2.918E-04   1.652E-03   2.174E-01
   1.650E-04   2.637E-03   3.005E-04   1.652E-03   2.193E-01
   1.250E-04   3.987E-03   8.562E-04   1.554E-03   3.129E-01
   1.235E-04   4.056E-03   8.916E-04   1.545E-03   3.179E-01
   1.130E-04   4.560E-03   1.181E-03   1.466E-03   3.578E-01
